image_id,caption,fitCount,gtNum,fluency,diversity,humor_score,humor,benign
sonicdrivein_486,i wrote the following words in my beer:.,3,1,0.9212218,0.5154501,0.610025942325592,1,-8.304978
sonicdrivein_655,it’ s not the first time this has happened to me.,0,1,0.975149,0.5154501,0.9614369869232178,1,-9.019591
sonicdrivein_69,s for the or i think it’ s going to be hard on me.,1,1,0.82720697,0.5154501,0.6165074110031128,1,-8.577327
sonicdrivein_1996,you’ re going to be a big part of our next movie night! watch it with your team and have fun.,3,1,0.97317207,0.5154501,0.0850723013281822,0,-0.034874663
sonicdrivein_789,the big question is : what do you want to eat? it has a little bit of everything.,0,1,0.8055127,0.5154501,0.082198292016983,0,-9.198755
sonicdrivein_780,contact us at 2016-3598 and we will follow you to your new restaurant.,0,1,0.765608,0.5154501,0.6100176572799683,1,-9.666299
sonicdrivein_791,we know what you’ re thinking.,0,1,0.97087777,0.5154501,0.4312188029289245,0,-8.315164
sonicdrivein_414,ika you like this? it’s the same game with a different name.,1,1,0.65443635,0.5154501,0.9128475785255432,1,-0.23024452
sonicdrivein_952,this is what i’ ll be doing this weekend.,1,1,0.9840134,0.5154501,0.8603761196136475,1,-8.706504
sonicdrivein_594,i’ m going to go on a trip with my family.,0,1,0.9831803,0.5154501,0.5021786689758301,1,-8.230878
sonicdrivein_135,"it’ s time for the, so let me know what you think.",0,1,0.8453521,0.5154501,0.5276942253112793,1,-9.047332
sonicdrivein_2095,"i wasn't sure what to do with my stuff, so i turned on the stove and it’s still there.",2,1,0.9208419,0.5154501,0.5920021533966064,1,-1.58166
sonicdrivein_1635,we know you’ re excited for your new taste buds but we also want to make sure they don ‘t get messy with this one.,4,1,0.97177607,0.5154501,0.0190391317009925,0,-8.657886
sonicdrivein_1755,this is a recipe for the perfect summer salad.,2,1,0.9760065,0.5154501,0.4684107601642608,0,-8.414339
sonicdrivein_1254,the workout is over.,1,1,0.9604463,0.5154501,0.5453528165817261,1,-8.948962
sonicdrivein_80,"ish, when you’ re like 70+ years old and your favorite thing to do is go for a run.",0,1,0.9120684,0.5154501,0.7775120139122009,1,-7.2670274
sonicdrivein_1778,"lamora the hacker, '' aka ryan stevenson! what’ s your thoughts on this?
why not share it with everyone who's got time to spare tonight?! x""
Questions and Answers:
1.",2,1,0.80224437,0.5154501,0.0414484590291976,0,-2.9706223
sonicdrivein_196,"i just found out that my new phone is better than a 30 year old sonic shadowbox! — tom wolfson 🔥 →
.",0,1,0.8714029,0.5154501,0.89618980884552,1,-0.016895993
sonicdrivein_1765,Q: what do you call the wi-fi in your house?? A: 2017#4598; Q: whats it called when people start talking to each other? a: st.,3,1,0.68509305,0.5154501,0.2335536181926727,0,-7.3191826e-05
sonicdrivein_614,it’ s just a couple of words to describe this amazing meal.,2,1,0.96077013,0.5154501,0.5119678378105164,1,-5.929781
sonicdrivein_339,a little bit of joy to keep you on track with your coffee and the days left in summer.,6,1,0.63233835,0.5154501,0.3919079601764679,0,-8.164479
sonicdrivein_1849,m going to make you a new turin.,1,1,0.59624475,0.5154501,0.4523606300354004,0,-8.461576
sonicdrivein_2078,today we’ re going to be doing something different.,0,1,0.980874,0.5154501,0.6752562522888184,1,-8.525303
sonicdrivein_470,"ok, my mom is the 'll do it now!# ice cream ride this week* i will post a video of how we did on sunday.",1,1,0.64772344,0.5154501,0.0313192941248416,0,-4.5294285
sonicdrivein_89,"la-zed, la zed! we’ ll get back to the ghost in a week.",0,1,0.96734613,0.5154501,0.5672374367713928,1,-8.779229
sonicdrivein_316,"they’ re gonna have to buy a new dog because they ‘re not even in the car!# nowshouloveyournewdognow!!# thinktankz@ us& you just need it?
i like this so much i want my own hot tub with all these other things attached too.",2,1,0.8530744,0.5154501,0.1385674029588699,0,-0.0007497837
sonicdrivein_877,"a, the present you with your own unicorn at work.",1,1,0.20787881,0.5154501,0.3184813261032104,0,-0.04865614
sonicdrivein_1737,ill change the stock to your favorite 2014-edition taco bell.,2,1,0.8635152,0.5154501,0.2970630526542663,0,-8.752053
sonicdrivein_543,i’ m just about to have a meeting with the masters of charge.,2,1,0.97532153,0.5154501,0.8922247886657715,1,-9.297585
sonicdrivein_1197,the # fda-1605 is still waiting for the white of your little one.,1,1,0.42506722,0.5154501,0.1363542228937149,0,-0.00044157292
sonicdrivein_926,we need to get this for you.,0,1,0.9682626,0.5154501,0.1309540420770645,0,-9.118633
sonicdrivein_311,you don't have to do it.,1,1,0.97464615,0.5154501,0.6501939296722412,1,-8.373032
sonicdrivein_1854,"oh yeah, it’ s been a while since i wrote this blog.",0,1,0.976599,0.5154501,0.8596873879432678,1,-9.00367
