image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,benign,humor_score,humor
mcdonalds_switzerland_1890,you're going to get a lot of money.,1,1,0.97791356,0.43800086,0.0246139594005242,4.38143020931725e-309,4.38143020931725e-309,4.38143020931725e-309,-9.2322445,0.8769248723983765,1
mcdonalds_switzerland_16,"the only thing i can think of is to buy a, which has no way in getting the job done.",0,1,0.8861715,0.43800086,0.0,0.0,0.0,0.0,-9.783545,0.9899739027023317,1
mcdonalds_switzerland_794,"you're not going to get a burger, are you? just go in the restaurant and ask for your order.",2,1,0.9767262,0.43800086,0.1052631578947368,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.198594,0.5707488059997559,0
mcdonalds_switzerland_904,"it's ok, i just want to say it.",0,1,0.968982,0.43800086,0.0,0.0,0.0,0.0,-8.855566,0.9184984564781188,1
mcdonalds_switzerland_1988,"for the love of you, i'm here to give it a try.",3,1,0.97898245,0.43800086,0.0846163562766855,7.531105694135595e-309,7.531105694135595e-309,7.531105694135595e-309,-9.565824,0.5231665372848511,0
mcdonalds_switzerland_69,"when you see a person who is 't like your friend but doesn’ t say anything, and they just smile at them.",0,1,0.9336186,0.43800086,0.0,0.0,0.0,0.0,-9.548609,0.9433246850967408,1
mcdonalds_switzerland_744,"i'm not a lawyer, but i do n get the job to be an online judge.",1,1,0.6676028,0.43800086,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.119158,0.9252452254295348,1
mcdonalds_switzerland_163,"@dennis: why don't you just like the food in your house? '' because it is free! i am not asking for money, but want to eat with me.",1,1,0.91881436,0.43800086,0.0357142857142857,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-8.023021,0.077500469982624,0
mcdonalds_switzerland_181,"`` i'm going to do this! '' and the rest of you will be happy, too.",2,1,0.96976656,0.43800086,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.017158,0.3905982673168182,0
mcdonalds_switzerland_682,"i'm not a waiter, i don't have any restaurant in the morning.",2,1,0.72749084,0.43800086,0.1666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.436405,0.8651111125946045,1
