image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
mcdonalds_switzerland_16,"the only thing i can think of is to buy a, which has no way in getting the job done.",0,1,0.8861715,0.3997338,0.0,0.0,0.0,0.0,0.9437748789787292,1
mcdonalds_switzerland_1942,the following day is here! the new year's eve will be a great time for everyone to celebrate their happiness and well-being.,6,1,0.9594517,0.3997338,0.1730228151583804,1.6939495889106837e-308,1.6939495889106837e-308,1.6939495889106837e-308,0.1559990644454956,0
mcdonalds_switzerland_1988,"for the love of you, i'm here to give it a try.",3,1,0.97898245,0.3997338,0.0846163562766855,7.531105694135595e-309,7.531105694135595e-309,7.531105694135595e-309,0.7212426066398621,1
mcdonalds_switzerland_453,the's the same thing with you.,0,1,0.10353124,0.3997338,0.0,0.0,0.0,0.0,0.3500318229198456,0
mcdonalds_switzerland_242,"' sorry, but i ', m sure you don’ t need to call me.",1,1,0.88104385,0.3997338,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4863553345203399,0
mcdonalds_switzerland_1940,the next thing i remember is that you're going to be a lady.,2,1,0.9687423,0.3997338,0.0897916120220883,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308,0.2396128922700882,0
mcdonalds_switzerland_586,"`` i'm sorry, but you need to get a good job soon.",1,1,0.9684373,0.3997338,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4874300062656402,0
mcdonalds_switzerland_478,1.,0,1,0.8619599,0.3997338,0.0,0.0,0.0,0.0,0.516642153263092,1
mcdonalds_switzerland_1895,"yes, it's a big difference.",1,1,0.9446422,0.3997338,0.0099574136735727,1.10779904317048e-309,1.10779904317048e-309,1.10779904317048e-309,0.6991491317749023,1
mcdonalds_switzerland_655,'s been a long time since i /ve had an op with my phone.,0,1,0.9321328,0.3997338,0.0,0.0,0.0,0.0,0.1447898149490356,0
mcdonalds_switzerland_360,we have a good idea for you! </s> i want to ask the police department of your area.,1,1,0.93002313,0.3997338,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1207646876573562,0
mcdonalds_switzerland_1612,i'm here to talk about the park.,0,1,0.98000014,0.3997338,0.0,0.0,0.0,0.0,0.3265147805213928,0
mcdonalds_switzerland_646,"yes, that’s the first time i ‘ve ever felt like this.",0,1,0.96697646,0.3997338,0.0,0.0,0.0,0.0,0.1242222636938095,0
mcdonalds_switzerland_1995,"it's not the best day of your life, but it is! and you are in a good mood.",3,1,0.97774655,0.3997338,0.141080287481769,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308,0.0133393239229917,0
mcdonalds_switzerland_716,"a lot of them's been eating for a long time, but we need to eat more often and keep our blood pressure down.",0,1,0.7007125,0.3997338,0.0,0.0,0.0,0.0,0.2849601805210113,0
mcdonalds_switzerland_429,this is the best thing i've ever seen in my life.,0,1,0.9727912,0.3997338,0.0,0.0,0.0,0.0,0.6655314564704895,1
mcdonalds_switzerland_568,"when you see a funny face on your phone, just click the like button.",3,1,0.9452581,0.3997338,0.0551561018684074,5.727232018879324e-309,5.727232018879324e-309,5.727232018879324e-309,0.2424714416265487,0
mcdonalds_switzerland_584,"`` i'm not sure if you like it, but we .",0,1,0.84148115,0.3997338,0.0,0.0,0.0,0.0,0.5024399161338806,1
mcdonalds_switzerland_1962,"in the past 10 years, we have been talking about your parents and kids to make them see what they do when you turn off their phones.",3,1,0.96313256,0.3997338,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3036271929740906,0
