image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,benign,humor_score,humor
sonicdrivein_1755,the perfect recipe for a quick and easy lunch is this banana peanut butter toast with honey.,3,1,0.9684362,0.5144587,0.1239915039993521,1.563378107280424e-308,1.563378107280424e-308,1.563378107280424e-308,-7.987707,0.159719631075859,0
sonicdrivein_1452,the sonic screwdriver is coming out on friday.,2,1,0.98159903,0.5144587,0.0557825400371074,4.9648108639081e-309,4.9648108639081e-309,4.9648108639081e-309,-8.939956,0.2084375470876693,0
sonicdrivein_196,there’ s no way i could make it to a party with my 3 friends.,0,1,0.93444926,0.5144587,0.0,0.0,0.0,0.0,-9.0788765,0.9987336993217468,1
sonicdrivein_1197,this movie was written for a kids’ halloween.,2,1,0.96159977,0.5144587,0.0811631168395874,7.223757182189463e-309,7.223757182189463e-309,7.223757182189463e-309,-0.021701375,0.2506405413150787,0
sonicdrivein_1094,we have an idea to help you feel better.,1,1,0.9709721,0.5144587,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-4.6771035,0.2569954395294189,0
sonicdrivein_491,"yes, that is what it says on the back.",1,1,0.90713894,0.5144587,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-7.7043996,0.6332171559333801,0
sonicdrivein_1793,"this has been on us for 2 years, but this week we’ re gonna start listening to our cats.",2,1,0.8669541,0.5144587,0.0655477752471315,1.385562091264168e-308,1.385562091264168e-308,1.385562091264168e-308,-4.7920985e-05,0.090393379330635,0
sonicdrivein_546,now we have to be our self.,0,1,0.9195202,0.5144587,0.0,0.0,0.0,0.0,-9.191954,0.4886575937271118,0
sonicdrivein_80,"i was like, i am about to say no for a second time… and my boyfriend says that he’s thinking of buying me another burger.",1,1,0.9520431,0.5144587,0.04,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-7.290986,0.9826960563659668,1
sonicdrivein_1435,1.,0,1,0.8619599,0.5144587,0.0,0.0,0.0,0.0,-8.113886,0.6987997889518738,1
sonicdrivein_2181,what’ s the best way to make sure your little one knows they can do anything? put a hug in their hand.,2,1,0.9728292,0.5144587,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-8.43023,0.0048329816199839,0
