image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
mcdonalds_switzerland_357,what do you think about the most popular food of this year? what is your favorite dish to eat in a restaurant or at home.,3,1,0.93467635,0.43147862,0.12000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_1914,so you can have a rest of your day? </s> let me know if there is any other place where i can get an ice cream! the restaurant will be closed on monday and friday.,2,1,0.9817733,0.43147862,0.057142857142857134,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_1894,"what's your opinion on this? the first time you have to ask for a drink, is it worth paying more than €1.",3,1,0.7291724,0.43147862,0.13636363636363635,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_718,"it's not just a meme, it is the best way to get rid of your old iphone cases.",3,1,0.9636405,0.43147862,0.141080287481769,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308
mcdonalds_switzerland_573,"when you see a cat on the other side of your house, don't forget that it can be very cute.",1,1,0.97285074,0.43147862,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_401,i'm here to show you how i make my way through the night.,2,1,0.9752763,0.43147862,0.11309868932179762,1.6357440907688813e-308,1.6357440907688813e-308,1.6357440907688813e-308
mcdonalds_switzerland_1956,it's a great time to get your kids back in the car and have fun with them! just remember that it is only an hour away from home.,7,1,0.969714,0.43147862,0.25,0.07407407407407407,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_348,"i love you, i am a big fan of this show.",0,1,0.9491244,0.43147862,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1429,"in the video, we're talking about a dog that can be your favorite pet.",1,1,0.9544843,0.43147862,0.06191984998215582,1.928867353251809e-308,1.928867353251809e-308,1.928867353251809e-308
mcdonalds_switzerland_706,we're here to show you how delicious our food is.,0,1,0.97367585,0.43147862,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1901,what’ s the name of this pizza? i know it … and you can order your own personal chef.,0,1,0.93464833,0.43147862,0.0,0.0,0.0,0.0
mcdonalds_switzerland_623,"we know you're not sure if we should go to the movies or just stay home and watch your favorite food on a screen? let us help! 👍👌🍲🥗🤩 🤔😀 🍕🎥📱 📸 🛋️🚶‍♂⬇🏻 ⠀
• i have",2,1,0.9416733,0.43147862,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_416,"the first time i saw this video, my heart was in a very good mood.",1,1,0.9757082,0.43147862,0.04468800306904262,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308
mcdonalds_switzerland_1882,"for you, we have a meeting with the manager of the sushi bar! don't forget to tell us how much it costs.",2,1,0.9693424,0.43147862,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_1963,we're going to have a big pizza party at the restaurant.,2,1,0.9841329,0.43147862,0.08785910567087736,1.07521149593053e-308,1.07521149593053e-308,1.07521149593053e-308
mcdonalds_switzerland_735,"if you're looking for a quick bite, just check out our food truck! and don t forget to bring your own reusable bag.",2,1,0.96844697,0.43147862,0.08695652173913045,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_347,""" the world is not your friend... it's just a few minutes away.",1,1,0.880483,0.43147862,0.041571768960502624,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308
mcdonalds_switzerland_583,"it's not about how many people you see on the screen, it is more than that.",3,1,0.94801044,0.43147862,0.1288667397733073,1.5292694074701025e-308,1.5292694074701025e-308,1.5292694074701025e-308
mcdonalds_switzerland_444,it's a good thing you found this app.,0,1,0.97697484,0.43147862,0.0,0.0,0.0,0.0
mcdonalds_switzerland_2041,""" it's not a good idea to eat this in the middle of your lunch break.",0,1,0.9562044,0.43147862,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1896,"i'm not sure if you like it or i do n’t know, but here is the best way to get a job.",0,1,0.9608946,0.43147862,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1977,"you can see the best side of your dog, and you 'll be able to find it in a few minutes!
`` go for a walk with him.",1,1,0.9809177,0.43147862,0.03571428571428572,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_691,"i love you, i'm here for the best.",0,1,0.9646587,0.43147862,0.0,0.0,0.0,0.0
mcdonalds_switzerland_256,the main difference between this year and last is that we're here to celebrate the new season! have a great time with your friends.,2,1,0.9767419,0.43147862,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_651,i'm going to show you what i like.,2,1,0.9709415,0.43147862,0.1042155049196271,9.27548782591189e-309,9.27548782591189e-309,9.27548782591189e-309
mcdonalds_switzerland_521,you can take a break from your screen and go for some physical activity.,1,1,0.9747015,0.43147862,0.05367694950537755,1.6720924800836196e-308,1.6720924800836196e-308,1.6720924800836196e-308
mcdonalds_switzerland_603,the burger emoji is the best! just click on it and see what happens.,0,1,0.95685977,0.43147862,0.0,0.0,0.0,0.0
mcdonalds_switzerland_52,i'm here to show you how easy it is and the good food in a restaurant.,3,1,0.6510314,0.43147862,0.1875,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_1197,"what do you think? </s> if we can find a way to stop the spread of this virus, i will be happy.",2,1,0.9775309,0.43147862,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_606,"for the 2019/5 day, i was in a hotel with my wife and kids.",1,1,0.93989974,0.43147862,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_748,the next 10 years of a great meal is coming up! we are ready to celebrate it with you.,1,1,0.7452765,0.43147862,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_389,"for the first time, i was walking in a park and saw this beautiful car.",2,1,0.95623744,0.43147862,0.09553750807650524,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308
mcdonalds_switzerland_747,the best thing about the world is that you can 't get to sleep with a dog in your bed.,3,1,0.97260714,0.43147862,0.15,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_2035,"the new year is here, and it's a great time to celebrate the end of one month with your favorite food! just like us.",0,1,0.97139865,0.43147862,0.0,0.0,0.0,0.0
