image_id,caption,fitCount,gtNum,fluency,diversity,humor_score,humor,benign
mcdonalds_switzerland_481,"a little boy, 10 years old.",1,1,0.95222855,0.45890874,0.832327663898468,1,-0.00038830846
mcdonalds_switzerland_725,the best way to do it is by using a mcdonald's app.,2,1,0.96902966,0.45890874,0.5067687034606934,1,-9.479743
mcdonalds_switzerland_655,a little bit of fun.,0,1,0.9620484,0.45890874,0.1817799806594848,0,-8.443927
mcdonalds_switzerland_1912,"it's not about you, it s all for your family.",2,1,0.9567187,0.45890874,0.1200799122452735,0,-8.400194
mcdonalds_switzerland_1962,"you know what you do?... and i love it! the most amazing, beautiful food in all of italy.",1,1,0.9594404,0.45890874,0.0876513123512268,0,-5.5017905
mcdonalds_switzerland_700,it's a fact that you can get more money with the first shot of your smartphone.,2,1,0.9554405,0.45890874,0.2119743824005127,0,-0.026270606
mcdonalds_switzerland_429,we have a lot of things to look forward for in the next 10 minutes.,0,1,0.97309023,0.45890874,0.3773398101329803,0,-9.563314
mcdonalds_switzerland_13,"i'm not sure if you can find the best and then for your favourite burger, but i do know that it has a lot of great ingredients.",1,1,0.8768714,0.45890874,0.5601031184196472,1,-8.710692
mcdonalds_switzerland_31,"so, the world cup is coming up in just a few days.",1,1,0.9614218,0.45890874,0.6790680885314941,1,-9.262532
mcdonalds_switzerland_902,"mcdonald's, the best thing you can do for your family is to order a large pizza with extra cheese and pepperoni.",2,1,0.9697814,0.45890874,0.2535777390003204,0,-8.745177
mcdonalds_switzerland_409,it's a good idea to have some food with you and your friends.,1,1,0.9758518,0.45890874,0.5467628836631775,1,-9.026407
mcdonalds_switzerland_2052,"if you are looking for a fun day out with your family, we have some ideas to make it more interesting.",0,1,0.9770856,0.45890874,0.0235349107533693,0,-9.027963
mcdonalds_switzerland_608,i am so happy to see you! i'm glad that the event is over and we have a great time together.,3,1,0.97417575,0.45890874,0.1774341166019439,0,-8.799049
mcdonalds_switzerland_1888,"do you want to get your own ice cream? '' yes, i do! the most popular flavor in this city is mint chocolate chip.",1,1,0.97569895,0.45890874,0.0369649492204189,0,-8.606841
mcdonalds_switzerland_584,i'm sure you  ’re thinking of something.,1,1,0.9794206,0.45890874,0.5969198942184448,1,-8.004144
mcdonalds_switzerland_616,"for example, the most popular one is probably apple.",0,1,0.8977105,0.45890874,0.0450624153017997,0,-8.659065
mcdonalds_switzerland_558,"the best way to get a 10,000 yen gift card is by using the in-app purchase option.",3,1,0.9651074,0.45890874,0.3404255211353302,0,-8.120127
mcdonalds_switzerland_769,"you can also get a taste of the french fries, and you 'll be able to enjoy them with your friends.",1,1,0.9809487,0.45890874,0.6403037309646606,1,-9.04598
mcdonalds_switzerland_598,"a friend who has a huge heart and wants to be there for you, even if it's not your birthday.",2,1,0.97416705,0.45890874,0.5838175415992737,1,-9.509314
mcdonalds_switzerland_631,"you can always have a, you know what i do.",0,1,0.88342977,0.45890874,0.8226048946380615,1,-9.239714
mcdonalds_switzerland_672,"if you have the time to read this, i'm sure that’ s what we are going on.",0,1,0.9672375,0.45890874,0.7135111689567566,1,-8.267384
mcdonalds_switzerland_80,you know what i'm going to do? get in the car! it is so cool.,1,1,0.97115326,0.45890874,0.2463205456733703,0,-8.941132
mcdonalds_switzerland_360,we have a great app for you! </s> just click the like button to show your appreciation.,0,1,0.9424205,0.45890874,0.0843605995178222,0,-7.8430142
mcdonalds_switzerland_2014,"i'm not going to tell you this, but the whole world is on fire.",0,1,0.9741998,0.45890874,0.3243237733840942,0,-7.7042265
mcdonalds_switzerland_1904,"in the next 10 minutes, we will have a free trial for our customers.",1,1,0.96734625,0.45890874,0.2231051623821258,0,-8.675451
mcdonalds_switzerland_762,the most popular emoji on instagram is the heart.,3,1,0.9379425,0.45890874,0.2322806566953659,0,-0.00046290172
mcdonalds_switzerland_1942,"in the end, we can’t help but think of all those who are in need.",1,1,0.9697757,0.45890874,0.6156335473060608,1,-8.659424
mcdonalds_switzerland_203,it's your turn! it is time to take a sip of this drink.,1,1,0.9611344,0.45890874,0.0839627310633659,0,-9.703329
mcdonalds_switzerland_629,you're not the only one who has a hard time finding your way through this course.,2,1,0.97990876,0.45890874,0.4640387296676636,0,-8.927808
mcdonalds_switzerland_716,"a lot of people think it's a funny word, but i m n’t.",0,1,0.8214642,0.45890874,0.2850492000579834,0,-7.398602
mcdonalds_switzerland_605,"a couple of days ago, i was in a bar with my girlfriend and we were having our first drink.",0,1,0.98255205,0.45890874,0.0344115532934665,0,-8.7852545
mcdonalds_switzerland_478,"a few words to the new queen: 'i love you, i miss your family and my country.",1,1,0.8229373,0.45890874,0.4370793998241424,0,-3.1552806
mcdonalds_switzerland_693,"you know, the last time i was here to get a big order of ice cream and it’ s all you could do is take one bite.",4,1,0.94954854,0.45890874,0.2067994177341461,0,-9.472932
mcdonalds_switzerland_1985,i'm not going to tell you that this is the best thing i’ve ever seen in my life.,1,1,0.97569513,0.45890874,0.3537496328353882,0,-8.657827
mcdonalds_switzerland_16,the following is the best... you know what i mean.,0,1,0.97053087,0.45890874,0.9606471061706544,1,-9.145208
mcdonalds_switzerland_841,"i'm not a lawyer, but i would like to tell you that the price of this product is very low.",0,1,0.97928774,0.45890874,0.9126269817352296,1,-8.938429
mcdonalds_switzerland_568,"you know, the's a good idea.",2,1,0.7608031,0.45890874,0.5151610374450684,1,-8.842723
mcdonalds_switzerland_566,it's the first time i have had a cold drink in my room.,0,1,0.9762329,0.45890874,0.4541998505592346,0,-9.433326
mcdonalds_switzerland_358,the world is getting a bit more and it's not just for you.,1,1,0.94288635,0.45890874,0.3647341430187225,0,-8.617825
mcdonalds_switzerland_248,"for example, if you have a 20-year-old girlfriend who is in love with the same guy as your boyfriend and has been dating him for at least two years.",2,1,0.95326805,0.45890874,0.4468580186367035,0,-8.936941
mcdonalds_switzerland_2065,the first thing you should do is to check your phone.,0,1,0.98217344,0.45890874,0.0681069120764732,0,-8.614398
mcdonalds_switzerland_1988,"i love you, but i'm not going to tell it.",1,1,0.9544965,0.45890874,0.9305360913276672,1,-8.178371
mcdonalds_switzerland_1995,"in 2019, we will have a new series of mcdonald’ s in the us! and who knows what it is going to be like? i can hear you all saying: oh my god.",4,1,0.9607894,0.45890874,0.0083927102386951,0,-8.404888
mcdonalds_switzerland_646,"if you're in the mood for some food, try this delicious pork and vegetable soup with chicken broth.",0,1,0.9777453,0.45890874,0.0121373208239674,0,-0.001989292
mcdonalds_switzerland_1919,"when you’ re ready to make a reservation, just click the “ cancel now” button.",2,1,0.9457989,0.45890874,0.0646962970495224,0,-2.691003
mcdonalds_switzerland_1899,`` '' you are the best ice cream in town? get your tickets now! </s>'i know.,0,1,0.9398416,0.45890874,0.2205163985490799,0,-9.728069
mcdonalds_switzerland_367,i'm not sure if you like it or i do n’t know but this time we will have a big party for all the winners of last year! and they are coming to our city center.,4,1,0.80315566,0.45890874,0.0132928425446152,0,-9.3667755
mcdonalds_switzerland_242,"a few seconds later, we're here to help you with your search.",1,1,0.97724587,0.45890874,0.2153749465942382,0,-9.856087
mcdonalds_switzerland_1940,"the other day, i was asked to tell you about your favourite sandwich.",0,1,0.9758245,0.45890874,0.0880320817232132,0,-7.945235
mcdonalds_switzerland_402,the first one... and the other.,2,1,0.41198555,0.45890874,0.7518909573554993,1,-8.377433
mcdonalds_switzerland_461,a's not just for you! check out this video and see what s in your fridge.,2,1,0.8969863,0.45890874,0.0281298793852329,0,-8.399737
mcdonalds_switzerland_1895,"yes, you can.",1,1,0.943199,0.45890874,0.3738812208175659,0,-8.844518
mcdonalds_switzerland_1612,"you know, i'm not going to be here for a while.",0,1,0.9786476,0.45890874,0.7107531428337097,1,-8.829369
mcdonalds_switzerland_586,what do you think of this mcdonald's app? i know it is the best one in south africa.,0,1,0.976474,0.45890874,0.1239155828952789,0,-0.00020764102
mcdonalds_switzerland_736,"i love this, i don't know if you have a boyfriend or not.",0,1,0.95523334,0.45890874,0.2136400640010833,0,-7.629764
mcdonalds_switzerland_453,the only way to know what you're eating is by trying it.,0,1,0.9695273,0.45890874,0.2922309041023254,0,-9.466336
