image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,benign,humor_score,humor
mcdonalds_switzerland_265,""" hey, guys! i know you all are having a great time at the food market.",1,1,0.9693355,0.4792925,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-7.5982547,0.6453993320465088,0
mcdonalds_switzerland_19,"the answer is: `` yes, we love you! and it's our favorite food.",0,1,0.94607717,0.4792925,0.0,0.0,0.0,0.0,-9.781018,0.6427270174026489,0
mcdonalds_switzerland_1037,what is the best thing you've done with your phone this year? what about a selfie of that dog in front of my house?? 🤗🤣😍👀 👁🏻😂🐶🥳🍲 🥇🏼🦅🎉📸🙌 🙄 😭 😂❤️ 💕💖️🌟 �,1,1,0.9290046,0.4792925,0.03125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-0.00026818493,0.0878034979104995,0
mcdonalds_switzerland_1895,"yes, it's the time of year when we start eating more vegetables.",1,1,0.9650654,0.4792925,0.0427847599193826,1.142391010069532e-308,1.142391010069532e-308,1.142391010069532e-308,-8.719042,0.5132392048835754,0
mcdonalds_switzerland_569,`` i'm just about to get my first order of your choice.,2,1,0.96431845,0.4792925,0.0289623239084075,3.86659858861305e-309,3.86659858861305e-309,3.86659858861305e-309,-8.347258,0.8881674408912659,1
mcdonalds_switzerland_478,"the first one is's a kiss, the second and third are like to say your favorite food or drink.",2,1,0.042325698,0.4792925,0.1052631578947368,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.591656,0.1706951409578323,0
mcdonalds_switzerland_864,"this is a, you know what i mean? the hug that makes your heart melt.",0,1,0.9585092,0.4792925,0.0,0.0,0.0,0.0,-6.0408025,0.9802187085151672,1
mcdonalds_switzerland_409,i have a question for you.,1,1,0.97943497,0.4792925,0.0314792671395936,4.20262166383659e-309,4.20262166383659e-309,4.20262166383659e-309,-7.666975,0.2966160178184509,0
mcdonalds_switzerland_181,you know what you're thinking? a friend who is going to do it.,1,1,0.9638622,0.4792925,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.225085,0.7193332314491272,1
mcdonalds_switzerland_2052,"yes, i'm not a big fan of the video game.",0,1,0.9694458,0.4792925,0.0,0.0,0.0,0.0,-9.077648,0.8403127789497375,1
mcdonalds_switzerland_1962,"the most important thing you can do to make sure your food is hot and delicious - put the heat on! 👍👌
i have a new recipe for french onion soup.",1,1,0.98245215,0.4792925,0.032258064516129,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.082215,0.0224236827343702,0
mcdonalds_switzerland_716,a few things you should know about the dog: 1.,0,1,0.9327704,0.4792925,0.0,0.0,0.0,0.0,-2.1581,0.0214760061353445,0
mcdonalds_switzerland_615,"a day when you get hungry and want to eat a lot of food, but don't have time for the ""thank u in your pocket"". it is not just me.",5,1,0.9151821,0.4792925,0.1666666666666666,0.0344827586206896,2.2250738585072617e-308,2.2250738585072617e-308,-6.8553724,0.2035416662693023,0
mcdonalds_switzerland_737,""" i'm not sure if you like it or not, but here are some options to try: '' and that’s all.",2,1,0.81048995,0.4792925,0.0952380952380952,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-8.672068,0.4969494342803955,0
mcdonalds_switzerland_234,it's a great time to have some fun! and we are here for you.,1,1,0.9652132,0.4792925,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.407417,0.0338897183537483,0
mcdonalds_switzerland_80,you're the one who says it! i m sure you can find a place to eat ice cream.,2,1,0.9722797,0.4792925,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.019427,0.0800029039382934,0
mcdonalds_switzerland_646,"if you’re not on the right, it ‘s a clue.",0,1,0.9258008,0.4792925,0.0,0.0,0.0,0.0,-3.6075842,0.168966919183731,0
mcdonalds_switzerland_118,"in the next 10 minutes, you will be able to check your favourite food and drink recommendations.",2,1,0.96559674,0.4792925,0.1176470588235294,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.412754,0.3650393187999725,0
mcdonalds_switzerland_721,"i'm not sure if you can do this, but i am going to ask for your feedback on the video.",1,1,0.97486365,0.4792925,0.05,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.469636,0.8207029104232788,1
mcdonalds_switzerland_31,"we have a lot of people who are struggling to get into the apartment, but we can also offer you an early discount on your next purchase.",3,1,0.9763532,0.4792925,0.074074074074074,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-7.964672,0.1010918766260147,0
mcdonalds_switzerland_496,you're not alone.,0,1,0.97517776,0.4792925,0.0,0.0,0.0,0.0,-9.045467,0.6948240995407104,1
mcdonalds_switzerland_1995,"there are 20+ people in the room, and we’re going to get a good night sleep.",2,1,0.9618839,0.4792925,0.0914519536183302,1.627898810444522e-308,1.627898810444522e-308,1.627898810444522e-308,-7.004718,0.0088271182030439,0
mcdonalds_switzerland_642,"i'm not a fan of the current ufc champions, but i am sure that there are some players who would love to be on their team.",4,1,0.96992904,0.4792925,0.1538461538461538,0.04,2.2250738585072617e-308,2.2250738585072617e-308,-8.061458,0.6139222383499146,0
mcdonalds_switzerland_1899,"the first time i saw this video, my mom said: `` it is the most beautiful song in your life! and you can do that.",2,1,0.96077555,0.4792925,0.0799999999999999,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-7.9305077,0.0348668284714221,0
