prompt,label,image
"ous, ig, AP, ments, */, ba, fter, add, of, <tr>, �, ribu, rist, </thead>, uid, red, non, |, ND.",I love the arts @noahverrier,wendys_2
"<caption>, inter, {, put, De, thod, ps, wi, .,, �, bec, Con, ern, show, red, sti, l, ru.",PLZ,wendys_144
"AP, main, too, alth, ks, But, of, gra, �, te, az, In, .”, HE, the, z, Com, ij, red, <unused98>, To, xicity, ased, vern, l.","The only life hack you should care about, tbh.",wendys_206
"hile, ress, old, pec, <unused75>, bu, Int, c, ream, Qu, ate, iti, help, ed, es, De, own, and, .....",🫶🫶🫶,wendys_100
"<unused85>, hl, son, .,, �, User, dic, In, red, cho, t, ield, es, li.",Name the song.,wendys_327
"aligned, ch, rough, .,, �, block, In, ou, inter, cour, indow, king, ({, ON, void, Com, </, AR, ло, found, De, our, ct, IT, break.",idk she has high standards,wendys_81
"this, ain, while, rest, sta, V, к, во, Par, .,, �, tring, ason, hat, ul, ings, ión, sions, es, Au, xicity, ди.",try it 😉,wendys_38
"io, y, si, ield, orm, t, **, um, void, ings, ream, </, amp, <, je, =>, http, co, <unused7>, path, ased.",chivalry is dead,wendys_35
"that, der, AL, ings, ер, had, dic, lu, In, bec, ree, li.",It’s a sign,wendys_112
"po, hoto, ister, ield, produ, ya, �, gan, ="", order, val, ask, em, ..., , che, es, N, ер, und, be, Set.",Chewing a Baconator? So not cheugy.,wendys_242
"just, ning, .,, ason, lig, side, ager, HE, void, EN, con, im, es, co, б, OF, To, Au, De, g, util.",Tag this person,wendys_37
"ister, ield, An, produ, </h1>, ya, of, �, used, In, ros, order, val, file, , es, dex, ер, und, be, Set.",Truth.,wendys_296
"from, that, <unused85>, ans, OS, inter, son, , на, �, </, Ch, Con, ij, red, ire, t.",No shame.,wendys_316
"sub, <td>, AP, def, body, sta, fact, ield, ration, pec, who, iss, ES, r, Ind, well, go, cer, ron, by, und.",We are innovators. What should we print next…,wendys_102
"ali, olution, */, view, ates, It, ater, round, bec, <unused19>, who, pec, And, O, out, pid, AR, r, day, Au, De, ence, ер, ""), ful, ref.",What blind items got leaked about Frosty😲?,wendys_192
"ush, co, {, , De, sim, ased, !!, �, gi, ال, ew, */, OM, че, ches.","I’m a burger girl, in a burger world",wendys_118
"ali, V, But, mu, .,, �, cons, math, OS, ull, <thead>, RO, ust, ask, ere, r, ale, yle, ased, ер, el, mat, l, Set.","Put it in the cupholder where i can see it, Emma.",wendys_58
"ays, ystem, De, z, rd, AT, left, �, y, AR, Car, __, ield, lay, stra, ph.",Whoops.,wendys_317
"ause, AP, V, pi, ac, �, ante, In, side, bea, pa, long, $, ht, es, ased, ер, <unused96>, l.",Everyone’s favorite dinner is always a large fry in the car.,wendys_123
"ali, read, Ro, OS, {, xicity, ream, <sub>, bre, �, ting, block, AR, dic, rep, In, <unused14>, int.",she left me on thread,wendys_95
"AP, Ad, uck, ker, ==, add, ){, �, ce, T, &, long, -, how, del, bar, igh, exper, ..., co, De, his, ased, l.","Honestly when you’re a Frosty, you can make any relationship work.",wendys_175
"for, ang, af, rough, .,, �, ason, Ch, ur, bel, ata, nswer, ask, ij, li, ron, lay, ument, Set.","To keep updated on the latest, click the link in our bio.",wendys_309
"si, ield, 9, An, lease, produ, ya, �, In, order, ore, val, red, , es, ер, ""), be, Set.",Steamy,wendys_292
"ister, ield, ard, produ, </h1>, ya, tive, �, ="", ros, order, ust, es, ер, ""), by, b, serv, und, ways, be, Set.",Pigtails will always be in.,wendys_301
"<h2>, ic, AP, q, че, <unused52>, pi, �, In, </thead>, Value, home, ense, '), sur, ince, De, <blockquote>, ased, rm, their, g, Me.",that’s where the protein is,wendys_12
"AP, ir, gram, <unused73>, tel, ther, �, lace, In, inter, which, <sup>, Com, value, <unused7>, De, their, g, di, und, TO, ND.",You shouldn’t have said anything …,wendys_171
"der, hes, def, olution, anks, Al, ns, should, ey, �, final, col, label, top, tail, <unused7>, gi, el, b, und.",Nugg racing > marble racing. Cause marbles aren’t delicious. (Not that we’ve done the research.),wendys_181
"->, AP, under, m, al, lish, fter, wer, In, ul, inter, OS, ás, red, sur, char, ca, and, ""), g, EX, enti, lar.",I mean they have TISSUES. Jeez come on,wendys_54
"could, ox, hes, ong, q, make, err, But, It, le, read, Le, life, , &, that, inter, {, cor, Com, >, D, sive, <unused14>, ///, }{, ser, <unused1>.",find all the hidden grub...IF YOU DARE ☠️,wendys_274
"der, pos, AP, ress, But, wh, ption, ier, �, pe, used, rep, name, ired, , Com, ij, him, ви, je, sim, ert, ence, ""), </u>, rec.",Grad u ate some Wendy’s.,wendys_300
"<h2>, der, <unused44>, S, du, De, for, ased, Time, ;, vo, ore, �, three, ress, <, es.",We be spittin’ facts today.,wendys_241
"der, ain, AG, y, </strong>, EL, ){, C, �, pec, void, <, UN, es, said, To, S, De, yle, enti, l, igned.",You asked and the Queen of Spice delivered. Spicy Nuggs are back on the menu. You’re welcome 🔥🔥🔥,wendys_368
"sim, ream, ots, , �, --------, ron, pec, ال, ();, In, ded, body, ager, és, ru, ND.",How do you Frosty?,wendys_211
"just, ult, ield, és, tring, �, bec, In, verride, ith, label, void, king, --, Id, ..., De, <unused49>, ер, lay.",the most important decision of your lyfe lowkey,wendys_286
"ute, td, ong, */, being, ge, RE, ody, ont, az, side, land, ator, top, red, '), Item, ans, about, yp, ased, las, enti, sed.",For the 1 you luhv,wendys_133
"AP, mit, <unused82>, au, �, te, Ch, requ, real, ction, cor, col, IC, Com, IV, ij, red, sur, es, clude, ence, ise, ref, *.",I need to go back.,wendys_68
"], ident, ati, orm, produ, am, �, ribu, verride, AR, <, most, que, De, ~, ased, di, enti, lay, break.",It’s literally called the Breakfast Baconator.,wendys_311
"var, ре, child, ла, és, irst, lease, icity, gra, .,, ad, place, ros, who, You, say, #, tab, <, ub, Ro, Name, by, <code>.","A six-slide-long fr-inger trap, baby. ",wendys_218
"this, hes, ?, pas, err, ult, add, �, end, red, ía, well, <unused7>, und, To, sim, De, ased, www, way, l, head.",☀️🍓🥗 Summer Strawberry Salad is back! Don’t miss out on the Summer Salad Fest with fresh-made ingredients and fresh summer strawberries!,wendys_186
"der, here, happ, w, n, �, ka, ="", ion, , <, red, tes, ente, into, De, own, ер, gi, than, ree.",Spicy Chicken Nuggets will now be back in all restaurants THIS MONDAY! Get ready. 🔥,wendys_369
"OS, ride, son, String, �, ata, nswer, ulti, Ch, dic, Con, ij, ere, ón, <unused57>, co, Set.",Direct eye contact the whole time,wendys_159
"alth, err, anks, als, ard, inal, �, lig, In, ce, back, <unused48>, <unused91>, hen, pec, ream, prof, ator, ía, clude, ron, up, water, fic, l, <unused5>, ND.",Microdosing alchemy at 2pm on a Tuesday.,wendys_61
"for, ouse, ble, ре, true, sta, But, fter, �, place, who, ke, -, red, most, es, que, De, oh, ule.","Feeling fresh, might delete later.",wendys_332
"break, sk, ield, ла, �, String, wo, X, <unused78>, AR, self, <, De, den, <unused27>, ump, mat, spec, __, l, const, <unused5>.","If you know, you know.",wendys_334
"ister, sta, ield, че, ard, le, produ, �, incre, In, ros, ', <tbody>, em, red, , es, <unused7>, ер, Set.","Who needs another long-winded unpronounceable drink order when you could get a sandwich, nuggs, fries and drink for just",wendys_193
"Re, io, o, during, z, for, .,, file, err, top, �, incre, cal, St, ense, );, ex, man.",new years resolution,wendys_51
"Au, De, AP, ==, ings, <thead>, �, L, ason, ches, par, ew, ribu, EX, ou, ample, ND.",NO ONE CAN BEAT THIS GAME jk it’s not even real lol,wendys_104
"urs, get, AP, php, ateg, ield, .,, ou, Tr, du, </, nswer, most, che, stat, <unused26>, App, <unused42>, uk.","Once you get it, it’s over.",wendys_320
"other, ident, Mar, ject, ield, produ, vel, left, ey, �, <unused23>, , ask, <unused28>, enumerate, dis, <unused61>, l, be.",beat it football head,wendys_278
"pre, AP, wn, ream, tive, r, <unused7>, <unused88>, way, our, umerate, <unused2>, sta, <i>, Con, J, try, pro.",Which one are YOU?,wendys_105
"read, sim, AP, ased, ;, ia, <tbody>, <unk>, �, l, par, tail, не, EX, av, },, co, Set.","5 bucks then, 5 bucks now. They grow up so fast… *wipes tear with French Fry*",wendys_191
"ical, inter, OS, round, </table>, bel, ;, �, <eos>, lu, Ch, af, ij, igned, co, Set.",She’s doing us all a service.,wendys_363
"?, ang, Ar, fact, w, ride, wn, �, Ch, place, hl, ur, ', file, AR, ij, Con, De, ер, ron, igned.",McWho?,wendys_310
"ant, AP, inf, P, red, �, ulti, ال, In, lig, ote, EN, Con, gu, HE, ing.",Beef is out now!!,wendys_19
"here, ang, af, ati, lean, AS, ride, wn, .,, �, process, OS, cur, ream, ata, ij, Con, lo, Set.",AND a strawberry lemonade,wendys_146
"], AP, bre, qu, fter, son, should, �, ribu, wo, Tr, test, inter, col, out, pid, AR, <, <i>, mon, ер, ting, cess.",Who raised you,wendys_253
"o, err, very, being, ates, ge, ial, �, </em>, pec, sho, `, una, fer, AR, ense, red, h, each, De, ence, l, ND.",Hope everyone is uncomfortable with the energy we’ve created in the studio today 😌,wendys_131
"gg, child, op, ==, �, block, In, gy, <unused48>, ph, You, label, ense, rite, IG, and, So, break, be.","After review, the ruling that Wendy’s is the 🐐 still stands.",wendys_347
"ST, during, AG, var, ar, view, 9, am, L, �, ern, hat, AD, uring, ,"", #, >, Po, <unused83>, ustom.",pls 🥹,wendys_87
"ali, AP, ida, Type, <unused17>, produ, fig, mage, ther, tive, �, In, hen, pec, inter, void, lient, red, sur, mon, im, ',, sim, De, lay.","The Lonely Ghost Way

Lonely Ghost x @wendys drops 07.31.24, 9AM MST

Limited time only at participating U.S. Wendy’s® from 07.31.24-08.07.24.  Includes 10 PC Spicy Ghost Pepper Nuggs with Ghost Pepper Ranch Dipping Sauce, Medium Fry and Medium Soft Drink.  The Wendy’s name, design and logo are registered trademarks of Quality Is Our Recipe, LLC.",wendys_10
"test, <unused28>, entr, this, De, ric, var, ased, add, Ad, ron, lig, In, Id, most, je, tes, hen.",Your state’s top free drink. Did we get it right?,wendys_212
"De, small, ased, ive, Com, �, So, by, <unused10>, <unused80>, sed, ower, =>, sur, ines.","glamour, grace and perfect taste 💅",wendys_285
"produ, es, ya, ер, their, order, �, gan, ust, M, ister, In, ield, , igned, be, ard.",I mean ghosts can be cool but Ghost Pepper is fire.,wendys_235
"bu, OS, ystem, </thead>, De, ер, wi, �, ron, used, dic, In, view, al, ction.",friends send friends frosty stickers on WhatsApp. we don’t make the rules.,wendys_7
"test, vo, De, AT, AP, sign, case, q, da, �, dy, AR, ew, eng, lar, <unused34>, [', че.",tag ur aunties,wendys_44
"du, ', ause, ud, AP, ence, <blockquote>, ode, hline, �, ly, tage, OR, OM, It, lit, ople.",📸🤨🫵,wendys_40
"here, af, being, rough, ride, son, </table>, .,, �, ign, In, come, ou, <unused75>, bu, OS, ww, ij, Con, li, co, path.",like where are the fake mustaches too,wendys_147
"ST, during, iv, ar, vel, n, ly, j, ream, '), stat, string, De, ased, (', ura, mo, by, ot.",DO NOT MESS WITH US,wendys_259
"ans, De, </tr>, htt, ings, ice, wi, �, erson, dic, af, cia, je, Con, An, ان, es, li.",Only a genius can solve this: 🍟⟌🍔ᒾ,wendys_142
"err, ield, ard, mu, �, ather, ager, verride, sti, umer, tem, AR, ..., es, dex, ti, ""), roup, ead, dec, l.",The dudes have to know,wendys_190
"AP, t, </table>, As, n, C, �, ign, inter, long, 5, , ij, cap, Con, ans, each, par, igned.",Okay but same.,wendys_359
