image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,benign,b_bita,b_clip
sonicdrivein_1209,it's time to get your teeth ready for the new year.,1,1,1,2,2,1,0.97577196,0.39948547,0.080224212319997,9.8177638708909e-309,9.8177638708909e-309,9.8177638708909e-309,0.1852273494005203,0,-9.01308,-7.1797647,-4.2605233
sonicdrivein_866,"it's not just a meme, it’ s an app that lets you order food from anywhere in the world.",1,1,1,2,0,1,0.96962714,0.39948547,0.0,0.0,0.0,0.0,0.2020735591650009,0,-9.718576,-9.177912,-9.441924
sonicdrivein_80,"it’ s like, “ oh my god i love you so much right now.",0,1,1,2,0,1,0.8710435,0.39948547,0.0,0.0,0.0,0.0,0.970469892024994,1,-7.235322,-8.673104,-0.59008265
sonicdrivein_1566,we've got you covered.,1,1,1,0,0,1,0.9745058,0.39948547,0.0,0.0,0.0,0.0,0.657412588596344,1,-9.220501,-0.0018304513,-5.5115194
sonicdrivein_1435,"i've heard a lot of things about this, so here’s what i think is going to be the next big thing.",0,1,1,2,1,1,0.961656,0.39948547,0.0432931639465101,2.0229402343384255e-308,2.0229402343384255e-308,2.0229402343384255e-308,0.1748029738664627,0,-8.97248,-8.785961,-7.8468657
sonicdrivein_2185,this is what it's like when you have to wait in line for over an hour just so i can get a drink.,1,1,1,2,3,1,0.9815545,0.39948547,0.1304347826086956,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5018296837806702,1,-9.4320545,-2.960812,-7.2854123
sonicdrivein_786,"i'm going to get you a drink of your choice, but i don’t know what it is.",0,0,0,-1,0,1,0.98003113,0.39948547,0.0,0.0,0.0,0.0,0.9510153532028198,1,-9.205625,-9.336817,-8.660161
sonicdrivein_283,what’ s wrong with you? </s> just click the like button to make it happen.,1,1,1,2,0,1,0.9575524,0.39948547,0.0,0.0,0.0,0.0,0.0204337947070598,0,-1.1508436,-7.9436107,-8.465661
sonicdrivein_1452,what’ s your favorite way to say “ no” in spanish? the chữ nằng tươi viên cho ngườe khác hoạt đây nhấp bảo mình.,0,0,0,-1,1,1,0.8291133,0.39948547,0.0416666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0483684130012989,0,-0.010684782,-8.927256,-9.134957
sonicdrivein_470,don't worry about it.,0,0,0,-1,0,1,0.9796346,0.39948547,0.0,0.0,0.0,0.0,0.3451215326786041,0,-9.174102,-9.056454,-8.999753
sonicdrivein_1884,this is what it looks like when you don't follow through on your plan.,0,0,0,-1,2,1,0.97580034,0.39948547,0.0999532196250186,1.556823072428848e-308,1.556823072428848e-308,1.556823072428848e-308,0.2440010011196136,0,-8.237056,-9.132108,-0.00048923446
sonicdrivein_952,we’ re here to help you lose 10 pounds in the first week.,0,0,0,-1,3,1,0.96664,0.39948547,0.0168783813807499,1.627411291316304e-309,1.627411291316304e-309,1.627411291316304e-309,0.7410256862640381,1,-8.546059,-6.6759233,-9.564545
sonicdrivein_1765,q: what do u want to see? </s> p.,0,0,0,-1,0,1,0.95895594,0.39948547,0.0,0.0,0.0,0.0,0.6788944005966187,1,-6.700814,-8.615779,-9.417444
sonicdrivein_1755,it's time for you to try something new.,0,0,0,0,0,1,0.97822785,0.39948547,0.0,0.0,0.0,0.0,0.496929258108139,0,-9.3646145,-8.605178,-8.598373
sonicdrivein_2168,you know what i’ m going to do today? give up on all of the memes that have gone viral in 2019.,0,0,0,-1,3,1,0.97989696,0.39948547,0.1363636363636363,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2676727473735809,0,-7.7246947,-8.52523,-0.52007866
sonicdrivein_742,there's no way you can eat this.,0,0,0,-1,0,1,0.9658802,0.39948547,0.0,0.0,0.0,0.0,0.8097132444381714,1,-8.689912,-0.05037412,-2.8333247
sonicdrivein_788,"it's like, oh my god.",0,1,1,2,0,1,0.92365605,0.39948547,0.0,0.0,0.0,0.0,0.6925002932548523,1,-9.117053,-8.907169,-0.0016505203
sonicdrivein_1077,when you’ ve got 20 questions in your head and no idea where to look for the answer.,0,1,1,2,2,1,0.9302968,0.39948547,0.0940535249878459,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308,0.5993102788925171,1,-8.993242,-8.886791,-9.065156
sonicdrivein_1197,it's been a long time since i’ ve seen this.,0,0,0,-1,1,1,0.98005223,0.39948547,0.0496585303791409,1.1049389779851533e-308,1.1049389779851533e-308,1.1049389779851533e-308,0.6645135283470154,1,-8.856218,-9.806065,-6.4079638
sonicdrivein_491,"yes, i don't know if it ’ s real or not.",0,0,0,-1,1,1,0.961395,0.39948547,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8460654616355896,1,-8.830448,-8.825123,-8.494484
sonicdrivein_655,i'm going to tell you a few things that i know for sure.,0,0,0,-1,2,1,0.96842825,0.39948547,0.1538461538461538,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9610275030136108,1,-8.733499,-7.5527225,-8.151274
sonicdrivein_2181,"when you’ re about to leave the house and think, “ i need ice cream but there is none left.",1,1,0,2,2,1,0.8569685,0.39948547,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1679157167673111,0,-8.262999,-1.0424052,-0.000766103
sonicdrivein_2080,"i'm not going to ask you for anything, but here’s what i want.",0,0,1,0,2,1,0.978454,0.39948547,0.1047249843574439,1.5146353626711476e-308,1.5146353626711476e-308,1.5146353626711476e-308,0.8432506918907166,1,-8.500424,-9.171104,-9.1548815
sonicdrivein_1635,what’ s your take on this? </s> what would you like to do with a plant-based meal in the next few weeks?? 🤔🤓🍅🥦🧘🏼‍♂️ pic.,0,0,0,-1,4,1,0.9326232,0.39948547,0.0356706828629079,4.762194237201565e-309,4.762194237201565e-309,4.762194237201565e-309,0.0354222953319549,0,-0.00044931806,-8.868226,-8.057786
sonicdrivein_454,"we're going to have a ton of food on the drive-thru this morning, so i’m not sure what we can do about it.",1,1,1,2,2,1,0.9782884,0.39948547,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1822625994682312,0,-8.145323,-8.649438,-3.0629585
sonicdrivein_69,"dude, you know what i like to do with my lips? </s> 🤣🤷‍♂️👤 👦 🧘🏽🕶🏻🍪 🍇 🔥 ⛏⬅📲 📸🔴 💃💆# foodporn ♻︎🥗🌮☀️",0,0,0,-1,0,1,0.9370085,0.39948547,0.0,0.0,0.0,0.0,0.0430171675980091,0,-8.490819,-9.138273,-0.6722166
sonicdrivein_1138,"yes, it's my mom.",0,1,0,0,0,1,0.95941067,0.39948547,0.0,0.0,0.0,0.0,0.8730092644691467,1,-8.353739,-9.12307,-5.506029
sonicdrivein_1090,it's been a long time since i’ ve felt like this.,0,0,0,-1,1,1,0.9823026,0.39948547,0.0631949025817162,1.54674658298039e-308,1.54674658298039e-308,1.54674658298039e-308,0.5369585156440735,1,-9.503063,-9.170115,-9.389486
sonicdrivein_556,"i'm not sure if this is what you want, but here’s how much it will cost.",0,0,0,-1,0,1,0.9758961,0.39948547,0.0,0.0,0.0,0.0,0.2366215884685516,0,-8.180077,-7.916903,-8.25829
sonicdrivein_558,"i'm not sure if this is the best way to say it, but i do n’t know how many of these have been sold.",0,0,0,-1,2,1,0.96648026,0.39948547,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6949241161346436,1,-8.689566,-9.292603,-9.084985
sonicdrivein_529,it's not just me.,0,0,0,-1,1,1,0.9735407,0.39948547,0.0716261992150475,6.374943338305425e-309,6.374943338305425e-309,6.374943338305425e-309,0.9045972228050232,1,-9.34197,-7.1935744,-0.00037138717
sonicdrivein_2189,it's not like you can just put it in the fridge.,0,0,1,-1,1,1,0.9747254,0.39948547,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6486393809318542,1,-9.112387,-8.01761,-7.0500727
