image_id,caption,fluency,diversity
bokete_20218,i'm not going to go up. i'm going to go up. i'm going up. i'm going to go up.,0.9351389,0.46174067
imgflip_27,"i don't; always; change the; format of; a meme, but; when i do, it doesn't get; many upvotes",0.25219557,0.46174067
bokete_108491,"they don't even notice it, but a woman with long long black hair comes out of the tv behind them slowly.",0.88276625,0.46174067
bokete_19325,"i've got three columns by the end of the month, three by the end of the month.",0.9482563,0.46174067
bokete_94340,"after graduation and leaving but don't cry. we're going to start walking towards the future, so let's say good-bye with a smile.",0.96546894,0.46174067
bokete_35061,i'm going to color it! i'm not going to fit in like my dads! i'm going to be a protective revolutionary!,0.9655975,0.46174067
bokete_96735,ha ni!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.7126101,0.46174067
bokete_17578,"""well, you're not really the person on the receipt. i thought it was a strange name.""",0.92838186,0.46174067
bokete_105626,"point one, the person who pretends to be dead will be taken back to his nest, where he can nurse with great care, drink, and make his meat soft.",0.97577137,0.46174067
bokete_35883,"it's like, ""oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0.77522075,0.46174067
bokete_111308,"with low expectations, she said she would go home if she tried to take a bath.",0.94642717,0.46174067
bokete_95692,"she said, ""sit down, sit down, and gently pull the chair.""",0.9280487,0.46174067
bokete_19416,"a smooth wind blows, a grass sprouts, a tree leaks, a pleasant spring. ah! then my cock will pop!",0.87105244,0.46174067
bokete_105732,"we've got a lot of work to do, and we've got a lot of work to do, and we've got a lot of work to do, and we've got a lot of work to do, and we've got a lot of work to do.",0.97074604,0.46174067
bokete_106467,"it's news time, everyone in some parts of the world who can't see the game to the end.",0.8699721,0.46174067
bokete_64225,"he's got one judge in the middle of the skate link, and then he's got another judge in front of the jury, and he's got another judge in front of the judge.",0.9173898,0.46174067
bokete_52282,"at first, i wanted to be an olympic athlete, but i was fooled by a chinese girl named yoonlin, who worked in the woods, but now i'm happy with two wheels.",0.9581867,0.46174067
bokete_42459,"hey, little boy. may i have some of the lemon sauce under your feet?",0.9826841,0.46174067
bokete_48195,"now, take me to a country where i'm licking my formula in bed at night and i'm not gonna get mad at you!",0.94662046,0.46174067
bokete_50915,that's ridiculous. where's the guy going from the point of view to stop the pitching machine?,0.91548145,0.46174067
bokete_61129,"it was a nice place, and i'm watching the video as fast as i can.",0.9751873,0.46174067
bokete_95747,"""no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait!, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait,",0.79676944,0.46174067
bokete_83225,it was the morning of a school trip that i went to bed alone early.,0.9544707,0.46174067
bokete_31458,"no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0.87464756,0.46174067
bokete_8873,"""you're going to an audition for the e.m.i.e. again?"" ""i want to be popular, too.""",0.9654236,0.46174067
bokete_14445,"the story of my grandfather, who thought of the eraser as a american military jeep, began with the story of ""gibmy chocolate,"" which made me cry three times.",0.9649335,0.46174067
bokete_104110,"hey, mr. snell, if you have any complaints, you're not talking to me, you're talking to me.",0.9622567,0.46174067
bokete_8503,"he's got a lot to talk about right away, and he's got a lot to eat.",0.97335535,0.46174067
bokete_93250,the sister who was sent back from the end of the marriage with a broken bag was well packed. it wasn't broken.,0.5343334,0.46174067
bokete_40501,"""who's the lead?"" ""we don't even know if we're going to be first because we don't know what we're doing.""",0.8605512,0.46174067
bokete_29849,"""it's going to move deeper, put down its arms, and grab it!""",0.9241865,0.46174067
bokete_31169,"no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0.8576851,0.46174067
imgflip_1033,i will up vote 5 of your memes if you up vote this meme; oh your an up vote begger,0.18210255,0.46174067
bokete_102368,"it's like, you know, when you get lost in the bathroom in your own home, you move like this.",0.96130073,0.46174067
bokete_97152,that's why i'm here. &lt;i&gt;i'm here.&lt;/i&gt;&lt;/i&gt; &lt;i&gt; &lt;i&gt; &lt;i&gt;you've got to look your customers in the eye and explain it to them.&lt;/i&gt; &lt;i&gt;you're new.&lt;/i&gt;&lt;/i&gt; &lt;i&gt; &lt;i&gt;,0.8733902,0.46174067
bokete_58536,"i'm glad i didn't pull up the hole, but i'm too bad with the boss today. the missing ball is off the table.",0.9761801,0.46174067
bokete_14426,"it's not good for a big, big, big, big, big, big, big, big, big rock star who's got a lot of taste, a lot of mood, a lot of mood, a lot of mood, a lot of mood, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain, a lot of pain.",0.8792872,0.46174067
bokete_32672,"...and if you turn around behind him, your neck will be elbowed to the fucking brain!",0.913776,0.46174067
bokete_9627,i've been thrown out of the way! the decision of the action has been made... to hide it!,0.9457752,0.46174067
bokete_29254,"come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",0.94045824,0.46174067
bokete_109274,"you look a little hot. if you look closely, you look pale. shall we go to the health care room?",0.9798866,0.46174067
bokete_19546,i'm going to go to the hotel. i'm going to go to the hotel. i'm going to go to the hotel. i'm going to go to the hotel.,0.9672019,0.46174067
bokete_82162,"there was a lot of work going on in the store, but the guy in the middle was the only one who came in late.",0.96638197,0.46174067
imgflip_75,"so it's okay for the cat to run and hide under the furniture when guests show up, but when i do it i'm rude and antisocial.",0.9620719,0.46174067
bokete_10831,"you're just behind me, like, ""strike!"" or, ""tchatak!"" or something like that!",0.93433964,0.46174067
bokete_38440,"as you can see, if you burn it, don't burn it, don't burn it, don't burn it.",0.9426419,0.46174067
bokete_13953,"mr. noppo, thank you for coming live for me today. listen to this song at the end. can you do it?",0.9704852,0.46174067
bokete_51714,"ah, to this address. this is the cardboard over here. wait a minute. i'm going in now.",0.91693044,0.46174067
bokete_97621,"when i signed up on facebook, i got a message every day and it was annoying.",0.96346194,0.46174067
bokete_16319,"i thought i'd get a surprise, so i pushed, and the members of the party left.",0.9532661,0.46174067
bokete_22992,i think the direction to which you're going is very wrong. the ones who jumped out can't afford it.,0.97349924,0.46174067
bokete_21497,"i went to visit the principal who was in the hospital, and he was pushing himself against the paramount bed.",0.96483874,0.46174067
bokete_18695,daddy's phone and check complete. i've got to report it to my mom early and get my allowance!,0.24384393,0.46174067
bokete_87919,"it's like, ""oh my god, i'm so sorry. i'm so sorry. i'm so sorry.""",0.8938426,0.46174067
bokete_30121,"and i'm going to tell you a little bit about this, and i'm going to tell you a little bit about it.",0.9707364,0.46174067
bokete_86992,"i held my elbow and tried to put my jaw in my mouth, and my hands got into my mouth...",0.7200953,0.46174067
bokete_57046,"no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no!",0.81217533,0.46174067
bokete_20523,"""it's too much water to handle, so i stand outside the yellow line and dry.""",0.84327424,0.46174067
bokete_30558,"and now, at the hands of the great god fan, we're going back to the moat.",0.9048203,0.46174067
bokete_76889,"i'm going to throw away the line and the settings, and the main character is going to worry about his inner self, and then the final time i'm going to find out the answer.",0.93980294,0.46174067
bokete_9622,"it is said that on the japanese coast of tohoku, there is a custom of throwing away men who can be grown-up this year instead of empty guns to drive away crows.",0.97654563,0.46174067
bokete_40491,"a small company president in osaka, japan, said, ""this is the last time you're gonna say something!""",0.96569985,0.46174067
bokete_30764,"""my brother, the wall of that store..."" ""oh, i bet you're ex-sebbian.""",0.5678339,0.46174067
bokete_97403,"i'm a politician, half a member of congress, half a man, half a man.",0.9551448,0.46174067
bokete_30813,"i'm going to go to the bathroom, and i'm going to go to the third wave, and i'm going to be on my knees.",0.9694345,0.46174067
bokete_19569,is it... is it... is it... is it... is it... is it... is it... is it... is it... is it... is it... is it... is it... is it... ...exhaling the contents of the stomach out of your mouth?,0.94004214,0.46174067
bokete_46145,i told her to give me some milk tea. you didn't say a word to bring me a t-back! it's nice to wear.,0.8999604,0.46174067
bokete_43896,"when i told my aunt to introduce me to anyone, she gave me this picture of me with her nose on and threw it back.",0.9113489,0.46174067
imgflip_197,"setting the microwave a few seconds; different from what the package says, just because you're a rebel.",0.8972658,0.46174067
bokete_17586,space monkeys grab what they can and throw it away. they're looking at it as nicotine.,0.9739416,0.46174067
imgflip_1777,never argue with an idiot; they bring you down to their level and beat you with their experience,0.9201517,0.46174067
bokete_23501,i'm thinking about 2 hours and 27 minutes if i should take off the symbol aquos that i bought.,0.7417456,0.46174067
bokete_16943,"i've made a cover that puts air-conditioning water into the outside wall and puts it in a tube where it's coming out of the air. as of now, i can't sell at all.",0.9327241,0.46174067
bokete_19968,"mom! i went there, but i don't have a dvd for ""i'm the iron line 88""! without it, i can't sleep well at night. what should i do?",0.9552151,0.46174067
imgflip_1023,"hello, i would like to have a; mcbig discussion about that &quot;six chicken salads with man dressing&quot; sign",0.36623308,0.46174067
bokete_8968,"a woman who stepped on her feet on a crowded train and stepped low on the platform after the train, looking for her london boots.",0.8795313,0.46174067
bokete_15410,"you're listening to taro's cat on the other side, but you're just a girl with pants on and you're just an eye on.",0.7554815,0.46174067
bokete_92890,what's going on?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.8229009,0.46174067
bokete_63630,"the gift my son gave me for the first time. it's made from a plastic bottle, but it's not invisible.",0.97799313,0.46174067
bokete_44501,"listen to me, daddy! your son wrote ""drink tears woman"" during the period of study!",0.5878774,0.46174067
bokete_16167,"""hey, why are you playing my guitar?"" ""well, big brother, i'm sorry. it was cool, so...""",0.9130589,0.46174067
bokete_19098,my arms are connected. i think some day i'll connect the parts of my face.,0.9564034,0.46174067
bokete_110092,"the rumor of a beautiful girl warrior who preserves the peace of the school made a fuss in class, but no one knows who she is.",0.8779143,0.46174067
imgflip_64,i bet he's thinking about other women; how did the person who created the clock know what the time was?,0.95929164,0.46174067
bokete_15628,"""my secretary is you?"" ""yes, i'm in charge of the dial, and i'm in charge of the call.""",0.51888967,0.46174067
bokete_29619,"man: ""i'm sorry, i only charge for two minutes, and i'm about to get out of there myself.""",0.89083195,0.46174067
bokete_19256,"if i checked the trap before i set it up with my friends, it would have been more powerful than i expected.",0.9697483,0.46174067
bokete_45489,i'll sharpen the window with my bare hands. i'll see if he's clean on the other side. we were breathing.,0.9589749,0.46174067
bokete_81841,"i feel like i'm starting to feel really good and i can't go out with body shampoo. that's okay, i'm still pissing!",0.90671885,0.46174067
bokete_45412,are you happy with taking down those pins? i'm asking you if you're happy with taking down those stubborn pins!,0.96865046,0.46174067
bokete_43330,"""it's done! it's done! it's done! it's done! it's done! it's done! it's done! it's done! it's done! it's done! it's done!",0.80817294,0.46174067
bokete_13537,"i'm swallowed up by a giant carnivore, but i'm going to take the ball of my body, which i think is weak, and i'm going to crush it.",0.9658722,0.46174067
bokete_93722,"the captain finally closes his eyes to the kiss call of the officers around him, and the deputy director looking at his lips.",0.3735482,0.46174067
bokete_14804,"the fork is something that we use from both ends. when i remembered manners, i felt confident and anxious about the third dish.",0.8548102,0.46174067
bokete_16305,"i got a big, big muscle cloud at miss karin's, but look, the beauty of your heart is going to fall!",0.94372797,0.46174067
bokete_16203,"""if you think it's a drink bar, you're drinking too much, but it's not. it's more than 4,000 yen for coffee alone.""",0.7716447,0.46174067
bokete_19997,"the girl who came to get the order, she liked it, so i touched her ass.",0.8601927,0.46174067
bokete_106359,i was able to read my son's letter of appreciation to me on his anniversary. i should have called him and put on my clothes.,0.97316813,0.46174067
bokete_13910,"♪ i want to fly free ♪ ♪ ha, ha, ha, ha, ha, ha ♪ ♪ yes, ha, ha, ha, ha, ha, ha, ha ♪",0.8961158,0.46174067
bokete_92518,i was able to see how i got a good age and fell down the hall at full force.,0.8294492,0.46174067
bokete_108747,"look! is this the picture you want? if you lick it like this, it's cute!",0.9689952,0.46174067
bokete_30411,"no, i thought it was a cat on the way, and i stepped on a mine.",0.9344431,0.46174067
bokete_15983,"""that guy's a rough guy, but his root is a good guy."" like, all of them have names and character settings. if he sells them, he looks sad.",0.8041392,0.46174067
bokete_35280,"""you seem to be in trouble, owada-san."" ""go home! i need your help!""",0.96428174,0.46174067
bokete_10314,"""you're right, sir. you're the first person to speak up so freely for the first time in two hours.""",0.9400365,0.46174067
bokete_32694,"next week, i'm going to meet professor white on the beach and learn how to make loans.",0.9811999,0.46174067
bokete_30018,"children's screams were heard in the play that if you eat the peppers, you'll kill the bad germs.",0.90931565,0.46174067
