image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
sonicdrivein_1209,the one i’ m going to talk about today is a little something.,0,0,0,0,2,1,0.80714065,0.42719504,0.0897916120220883,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308,0.6114653944969177,1
sonicdrivein_866,it’ s a new song.,0,0,0,0,0,1,0.9779182,0.42719504,0.0,0.0,0.0,0.0,0.7118660807609558,1
sonicdrivein_80,"i’m not a, i am.",0,0,0,-1,0,1,0.8075063,0.42719504,0.0,0.0,0.0,0.0,0.9954238533973694,1
sonicdrivein_1566,the burger emoji is a food image that can be used for anything.,1,1,1,2,0,1,0.90775555,0.42719504,0.0,0.0,0.0,0.0,0.5526639223098755,1
sonicdrivein_1435,i’ m going to try out the new mic and i hope it works.,0,0,0,-1,3,1,0.9753102,0.42719504,0.1126688623769527,1.1699171882659805e-308,1.1699171882659805e-308,1.1699171882659805e-308,0.5017068386077881,1
sonicdrivein_2185,we all know that this is the best thing to do in 2019.,1,1,1,2,2,1,0.9797921,0.42719504,0.0831435379210052,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.5781470537185669,1
sonicdrivein_283,"a little bit of a, just like you’ re going to eat it.",0,0,0,-1,1,1,0.8684381,0.42719504,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.528834879398346,1
sonicdrivein_1452,"i’ m just going to say, “ the only way i can get a job is if you have this.",1,1,1,2,2,1,0.96947,0.42719504,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5982113480567932,1
sonicdrivein_470,the one i was thinking about.,0,1,1,2,1,1,0.95541185,0.42719504,0.1010884432854389,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.5729233026504517,1
sonicdrivein_952,the sonic tonics are the only way to keep your smile bright and fresh.,1,1,0,2,4,1,0.9657607,0.42719504,0.0202907959325448,2.106930914564517e-309,2.106930914564517e-309,2.106930914564517e-309,0.5579577684402466,1
sonicdrivein_1765,"for # shakespeare’ s birthday, we were thinking of a lil bit more serious.",1,1,1,2,1,1,0.5744604,0.42719504,0.0403370087148399,1.25653953070478e-308,1.25653953070478e-308,1.25653953070478e-308,0.0546285510063171,0
sonicdrivein_1755,"this is the perfect recipe for a healthy, delicious and satisfying breakfast.",0,1,1,2,3,1,0.9715547,0.42719504,0.0999624135862118,8.89695013215885e-309,8.89695013215885e-309,8.89695013215885e-309,0.5311063528060913,1
sonicdrivein_2168,"you know, we’ re going to be the best thing since sliced bread.",0,1,1,2,1,1,0.8696679,0.42719504,0.0415717689605026,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.7171481847763062,1
sonicdrivein_788,"it's not just the smell of a dog’ s breath mint, it is so much better! and we can hear your voice on our app.",0,0,0,-1,1,1,0.9407813,0.42719504,0.04,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0153163475915789,0
sonicdrivein_1077,"and you? :m and that’s a question we have to ask ourselves every day! it seems like everyone has their own little unicorn in the app store, so why not mine?!#youallhaveyourunicorns@thejokefactory 🤩🤪😊👌🏻🦄🙏🏽🌈😂🐾💕",0,0,0,-1,2,1,0.82813454,0.42719504,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2032389938831329,0
sonicdrivein_655,"when you’ re about to make a decision, just say this.",0,1,1,2,1,1,0.97748905,0.42719504,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9552592039108276,1
sonicdrivein_2181,"when i was 16 and my mom told me to go get a dog, he said.",1,1,1,2,2,1,0.96304506,0.42719504,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5227832198143005,1
sonicdrivein_454,"you know, i’ m not going to be able t do this.",0,1,1,2,0,1,0.97650766,0.42719504,0.0,0.0,0.0,0.0,0.7600175738334656,1
sonicdrivein_529,"for the first time in 3 years, we got this.",0,1,1,2,0,1,0.96257454,0.42719504,0.0,0.0,0.0,0.0,0.9288323521614076,1
sonicdrivein_1809,"we’ re going to have a special edition of the “ sonic berry tree” podcast, which we hope you all will enjoy.",1,0,0,-1,3,1,0.9648717,0.42719504,0.0348721581699682,5.690162685806633e-309,5.690162685806633e-309,5.690162685806633e-309,0.1017364189028739,0
sonicdrivein_1866,"when you get home and realize your kids are all, on the go? just call me.",0,1,1,2,1,1,0.9751525,0.42719504,0.051814319886275,1.844651018804537e-308,1.844651018804537e-308,1.844651018804537e-308,0.5579928159713745,1
sonicdrivein_1376,and this is a meme.,0,0,0,-1,0,1,0.9636137,0.42719504,0.0,0.0,0.0,0.0,0.8665547370910645,1
sonicdrivein_743,we have a deal on 10 packs of ice cream.,1,1,1,2,1,1,0.94753,0.42719504,0.0033373269960326,7.42579905616274e-310,7.42579905616274e-310,7.42579905616274e-310,0.4235793650150299,0
sonicdrivein_196,"i'm not a dog person but i love these little dogs! and they’ re so cute, it makes me want to be one too.",1,1,1,2,0,1,0.9436122,0.42719504,0.0,0.0,0.0,0.0,0.9315060377120972,1
sonicdrivein_532,the only thing i know for sure is that the can of tuna in a sandwich was made with real meat.,1,1,1,2,6,1,0.9686484,0.42719504,0.2063994999405194,1.928867353251809e-308,1.928867353251809e-308,1.928867353251809e-308,0.3264104127883911,0
sonicdrivein_339,this is the last time i’ m going to say this.,0,1,1,2,3,1,0.97334653,0.42719504,0.0763818438604496,6.231692281410567e-309,6.231692281410567e-309,6.231692281410567e-309,0.9349936842918396,1
sonicdrivein_2112,"i'm not sure if this is the best way to do it, but i am.",0,0,0,-1,1,1,0.96998954,0.42719504,0.0418059390182037,1.395319530596309e-308,1.395319530596309e-308,1.395319530596309e-308,0.9432411789894104,1
sonicdrivein_234,what are you thinking about? i'm the one who always wears this: .,0,0,0,-1,1,1,0.899044,0.42719504,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.92333984375,1
sonicdrivein_2091,i'm not a robot.,0,0,0,-1,1,1,0.9716315,0.42719504,0.0096935519579305,8.6275476230692e-310,8.6275476230692e-310,8.6275476230692e-310,0.9445589184761048,1
sonicdrivein_1022,an's that you can order on the same day and get a discount.,1,0,0,-1,4,1,0.68463635,0.42719504,0.2442838947132157,1.7665365515873297e-308,1.7665365515873297e-308,1.7665365515873297e-308,0.8891259431838989,1
sonicdrivein_1753,"this is a, no we have to eat it in the office.",0,0,0,-1,1,1,0.41033292,0.42719504,0.0505442216427194,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.8911786079406738,1
sonicdrivein_780,a's the one who gets to eat all of it.,0,0,0,-1,0,1,0.95108134,0.42719504,0.0,0.0,0.0,0.0,0.8959906101226807,1
sonicdrivein_491,"yes, i don't like the idea of a dog.",0,0,0,-1,1,1,0.9727361,0.42719504,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9014542698860168,1
sonicdrivein_2052,`` i was thinking of you.,0,0,0,-1,0,1,0.96955216,0.42719504,0.0,0.0,0.0,0.0,0.9436451196670532,1
sonicdrivein_1737,we’ re not going to make a big splash.,0,0,0,-1,1,1,0.98111904,0.42719504,0.0327305364789008,6.55450749847085e-309,6.55450749847085e-309,6.55450749847085e-309,0.9143550992012024,1
sonicdrivein_98,"a, that’ s all we can do is take a bite out of it and call the rest home.",0,0,0,-1,0,1,0.95627075,0.42719504,0.0,0.0,0.0,0.0,0.9053362011909484,1
sonicdrivein_376,1 / 25 is the last day of school.,0,0,0,-1,1,1,0.95010823,0.42719504,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9277967810630798,1
sonicdrivein_41,the one i have for you is the cherry schnapps.,0,0,0,-1,0,1,0.94882745,0.42719504,0.0,0.0,0.0,0.0,0.9573774337768556,1
sonicdrivein_2208,i love you and i'm here for the best of them all.,0,0,0,-1,1,1,0.96438694,0.42719504,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8949205875396729,1
sonicdrivein_135,i'm not sure if i can get it but we’ ll see about that.,0,0,0,-1,1,1,0.9604014,0.42719504,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8685425519943237,1
sonicdrivein_2100,"i’ m going to try and make a, this is what i want.",0,0,1,0,0,1,0.8805033,0.42719504,0.0,0.0,0.0,0.0,0.8493594527244568,1
sonicdrivein_78,"the only way to get a, for the first time is with this.",0,0,0,-1,4,1,0.780503,0.42719504,0.2307692307692307,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9638718962669371,1
sonicdrivein_497,@ michealem.,0,0,0,-1,0,1,0.87190366,0.42719504,0.0,0.0,0.0,0.0,0.9146235585212708,1
sonicdrivein_404,"i'm gon na have to eat this one, so i might as well get it on my way.",0,0,0,-1,0,1,0.9532433,0.42719504,0.0,0.0,0.0,0.0,0.9000468850135803,1
sonicdrivein_91,"as always, the best way to stay on top of things is by being yourself.",0,0,0,-1,3,1,0.9748663,0.42719504,0.2,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,0.726448655128479,1
sonicdrivein_786,"when you’ re trying to find a new restaurant, and the menu is too long or confusing.",0,0,0,-1,1,1,0.9366845,0.42719504,0.0588235294117647,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6898866891860962,1
sonicdrivein_2080,i’ m going to be buying a new phone.,0,0,0,-1,2,1,0.9802412,0.42719504,0.0817509869269871,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,0.7578427791595459,1
sonicdrivein_759,1.,0,0,0,1,0,1,0.8619599,0.42719504,0.0,0.0,0.0,0.0,0.8298560976982117,1
sonicdrivein_2218,"it's not just about the drinks, it’ s all of us.",0,0,0,-1,0,1,0.96692544,0.42719504,0.0,0.0,0.0,0.0,0.7851015329360962,1
sonicdrivein_594,i’ m not sure if you're gonna like this or what but i am.,0,0,0,-1,0,1,0.9267466,0.42719504,0.0,0.0,0.0,0.0,0.906684637069702,1
sonicdrivein_414,it’ s the only thing that makes me want to eat ice cream.,0,0,0,-1,0,1,0.9721128,0.42719504,0.0,0.0,0.0,0.0,0.7573664784431458,1
sonicdrivein_2078,"a, and i am going to get a lot of tips on this.",0,0,0,-1,1,1,0.9505272,0.42719504,0.0484856297382092,1.402493394168772e-308,1.402493394168772e-308,1.402493394168772e-308,0.8830763697624207,1
sonicdrivein_690,"the red- berry, the cherry.",1,0,0,-1,0,1,0.61152166,0.42719504,0.0,0.0,0.0,0.0,0.7187875509262085,1
sonicdrivein_528,a 10- year old who’ s been playing the piano for a long time.,0,0,0,-1,0,1,0.97461367,0.42719504,0.0,0.0,0.0,0.0,0.7746714949607849,1
sonicdrivein_1138,the best way to say hi is a 10-second text message.,0,0,0,-1,2,1,0.97450376,0.42719504,0.0387663515117203,4.74418974361379e-309,4.74418974361379e-309,4.74418974361379e-309,0.6546839475631714,1
sonicdrivein_344,"i love you, because i am the one that always knows what to do and how it does.",0,0,0,-1,1,1,0.9634664,0.42719504,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.841524064540863,1
