image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,benign,humor_score,humor
sonicdrivein_339,"if you're not sure what the next step is, just hop on your phone and see how many reviews are posted.",3,1,0.97545606,0.505635,0.1180807768034625,1.8391691476033075e-308,1.8391691476033075e-308,1.8391691476033075e-308,-9.877781,0.4446928799152374,0
sonicdrivein_594,"""'you don’ t know what i look like when we get there? oh my god! this is the worst thing ever.",1,1,0.9482526,0.505635,0.0476190476190476,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-3.7479181,0.1893828511238098,0
sonicdrivein_454,"@ #ilovemycar: we’ re not going to be able to go back home for a while, so i guess its time you all start driving around in your car.",0,1,0.9477974,0.505635,0.0,0.0,0.0,0.0,-3.9600441,0.0399613641202449,0
sonicdrivein_470,i'm just going to say hi and i hope you guys like this! the song is called car oil.,1,1,0.96775985,0.505635,0.0526315789473684,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.321135,0.0175532829016447,0
sonicdrivein_791,it’ s like this.,0,1,0.9724815,0.505635,0.0,0.0,0.0,0.0,-8.725577,0.6863173842430115,1
sonicdrivein_2189,"i got this for you! </s>
.",0,1,0.9423579,0.505635,0.0,0.0,0.0,0.0,-8.604744,0.7013233304023743,1
sonicdrivein_1996,"i'm going to make a foam potion for you! just like i said, this is the best way ever.",0,1,0.96690416,0.505635,0.0,0.0,0.0,0.0,-9.562449,0.086920253932476,0
sonicdrivein_1793,"what are you thinking? the first bite of a burger on your desk! :o
i am not talking about it.",4,1,0.84983844,0.505635,0.1340640092071278,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308,-4.155289,0.0400357097387313,0
sonicdrivein_1567,"in 2016, i was the first to say that with a full pack of pepsi.",0,1,0.93017775,0.505635,0.0,0.0,0.0,0.0,-9.2939625,0.0995680689811706,0
sonicdrivein_1090,this is what the #40 of us looks like.,0,1,0.91036093,0.505635,0.0,0.0,0.0,0.0,-7.3817267,0.187717005610466,0
