image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss,caption_loss,fc_loss
sonicdrivein_1192,"what is a?  us@ icago   a  of  and  favorite and,,011/ 6:   @/ pm.  to the: #   ats   the the the, the the theanan",3,1,0.09263744,0.44051763,0.1195717763511504,2.039762925602366e-308,2.039762925602366e-308,2.039762925602366e-308,17.5,4.3125,1.3125
sonicdrivein_1854,"why the ice s  
 some   chocolate  and you’re feeling something extra. your day.
 the",4,1,0.068673834,0.44051763,0.2306050705729684,1.7958965995989704e-308,1.7958965995989704e-308,1.7958965995989704e-308,18.0,5.125,1.28125
sonicdrivein_1844,"i by the thes  carrot pie,,, we year will is to! all!  a look, your  us#02 a!! your2: today'''shakeherreshake ###",2,1,0.082196884,0.44051763,0.06703200460356394,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308,18.75,5.8125,1.296875
sonicdrivein_1424,it it first sight? but. drive  the best deal.  ,2,1,0.074612126,0.44051763,0.19885318151430437,1.991083571408152e-308,1.991083571408152e-308,1.991083571408152e-308,17.625,5.0,1.265625
sonicdrivein_2206,"i new girl,  ,  s   the future ""the  ",1,1,0.16834836,0.44051763,0.09735009788392564,1.7328892633971685e-308,1.7328892633971685e-308,1.7328892633971685e-308,16.75,4.65625,1.2109375
sonicdrivein_303,"# only, al 0  the own night  the a  time   this   of  iance   mealee ! mom! # fessionals   the the   the the the the the the the the the the the the the the ",19,1,0.30801374,0.44051763,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,18.0,4.8125,1.328125
sonicdrivein_1781,"if iss the new  of and up the hair, and� cup,, the, of like.  it the the thes.! ��@
-useron urgers for 
 free included.
 toon:.
 be combined. other add.
 ends for1",7,1,0.112220965,0.44051763,0.09830827344652396,1.130173041491028e-308,1.130173041491028e-308,1.130173041491028e-308,18.125,5.0,1.3125
sonicdrivein_1903,"have up and these, a massage and and and a fries and a and a bottle milkshake of  to your  to i’ ll get fivefive you you! 

i working in
 iton are taxes-ons are money.


 � #🥞 #�acon ",15,1,0.06377529,0.44051763,0.2631578947368421,0.08108108108108107,0.02777777777777778,2.2250738585072626e-308,17.75,4.46875,1.328125
sonicdrivein_904,"1-  so  ’ ll both ready! � �🤤� one is the week is your special?  class the, the the the the the, the the the the the the the the the the the",21,1,0.263869,0.44051763,0.15151515151515155,0.09374999999999999,0.06451612903225806,0.03333333333333333,16.25,3.671875,1.265625
sonicdrivein_2033,a only-owner of been more to the us. we us know you’ to stop the.. ,4,1,0.06401779,0.44051763,0.1750346638085895,1.9473252738654987e-308,1.9473252738654987e-308,1.9473252738654987e-308,17.75,4.6875,1.296875
sonicdrivein_882,"this you into a  a  you is be choose off back? / but, c c? � �� ",4,1,0.05663246,0.44051763,0.17647058823529413,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,18.125,4.6875,1.34375
sonicdrivein_685,"this in dip?  know re not in of the other! but’ no in betweenbetween.
��",2,1,0.044389065,0.44051763,0.13333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,16.75,4.125,1.265625
sonicdrivein_1333,"a turkey coffee hot tea  mmm, i’ it’ s the. ���♂ �️ it you!  now20 1. ",0,1,0.08569994,0.44051763,0.0,0.0,0.0,0.0,17.25,4.75,1.2578125
sonicdrivein_911,i in the season  to school the ��‍♫  s get to the school’acus! ,3,1,0.054201607,0.44051763,0.21368332584053448,0.077163423220193,2.060331790082205e-308,2.060331790082205e-308,15.75,3.78125,1.203125
sonicdrivein_2180,"itate the a the, n a ride ! ",2,1,0.5253842,0.44051763,0.11031211282307446,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308,17.75,5.34375,1.2421875
sonicdrivein_2212,the a favorite  tea tea with the   is do you like? try? </  asos ,3,1,0.1416961,0.44051763,0.18575954994646748,0.0666829153653986,1.928867353251809e-308,1.928867353251809e-308,18.25,5.40625,1.28125
sonicdrivein_418,i to try your lunch with with this’ a!! our chicken  chicken.  now   time!! ,4,1,0.062120706,0.44051763,0.12997085565270713,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,17.0,5.1875,1.171875
sonicdrivein_857,"if new favorite:: a own  �  out on comments store “  favorites"" to see what we food we",3,1,0.07763727,0.44051763,0.1491398861357283,0.10527521374286702,0.055927457300898105,1.991083571408152e-308,16.5,4.25,1.2265625
sonicdrivein_768,it morning. eat up job take.o.... it watchwatch your never. a good mode. � ,2,1,0.033465184,0.44051763,0.10735389901075512,1.6720924800836196e-308,1.6720924800836196e-308,1.6720924800836196e-308,18.625,5.84375,1.28125
sonicdrivein_1048,"a you’ re got this  of a, you only thing is the better reach. � �🍧�� to to up    than than than than that than  than than that that than than than than than that that that that that than that than than than that that the that than than",4,1,0.07429478,0.44051763,0.07999999999999999,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,16.875,4.03125,1.28125
sonicdrivein_1580,"a’ s a one thing to do a a friday: season   with j!
",5,1,0.32823968,0.44051763,0.21368332584053448,2.060331790082205e-308,2.060331790082205e-308,2.060331790082205e-308,17.125,4.53125,1.265625
