image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss
bokete_108069,i shamem sorry to say you how you m going to do you  you'm going to respect you how you m going to do you in i m going to get you at you'm going to do you. ,19,1,0.0526926,0.33078244,0.39473684210526316,0.13513513513513517,2.2250738585072626e-308,2.2250738585072626e-308,1.4921875
bokete_53089,`` m not you know you! my   but i m afraid if ll have able on it now  a loss mattress. aaa,4,1,0.041238975,0.33078244,0.18181818181818182,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,4.21875
bokete_14791,"when think i i, i i? when you to swing a bell s time? "" i thought't think, i 't need to. aaaaaa",6,1,0.036058478,0.33078244,0.13043478260869565,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.59375
bokete_57861,  s like monster sign you re so love porn of that. but't it? but s like big feeling you gotre like the middle of a. and is is is is the the is    is to the the the the the that your to that to the the the the to to,16,1,0.060070176,0.33078244,0.11764705882352941,0.04000000000000001,0.020408163265306117,2.2250738585072626e-308,3.03125
bokete_35417,`` why mom todoor is is  you re like to you m like to remind it for at what for?   the,5,1,0.03706972,0.33078244,0.14285714285714285,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,5.4375
imgflip_1478,"it  to new, school, and only will has you a, the,",1,1,0.038218167,0.33078244,0.057703310812752893,1.412335412826535e-308,1.412335412826535e-308,1.412335412826535e-308,6.34375
bokete_15983,"i i  iss just very and and  i first is just very guy.  that i i you are to. i..  i,, i  like.,,,I, the,II,,",3,1,0.06668132,0.33078244,0.07054014374088449,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308,5.875
bokete_28098,"  a that, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, thataa",10,1,0.7154873,0.33078244,0.7692307692307693,0.75,0.7272727272727273,0.7,0.90234375
bokete_93141,i first i i head got been here for so years is because be the this is is i find the my i my man. ,11,1,0.035248592,0.33078244,0.28,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308,4.75
bokete_93722,when  says said his eyes and his fact and and the lord and him and and he rest says says at me face. - the the the-- the is the- the and and and the the the the and and and---- the- the to that the-- the,27,1,0.27415746,0.33078244,0.21276595744680848,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,6.4375
bokete_21697,"i i was up the the house of the night,  friend, to feel tired to the company, i  this friends, there about me. i to her....  the to the the to to the,,,,, the the,,",21,1,0.095509544,0.33078244,0.296830014484102,0.05555641982322763,2.1014913361556143e-308,2.1014913361556143e-308,4.8125
bokete_44782,it  room from happened  the the apple shirt from the bed and the master warrior  the room of the night.!! House the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,46,1,0.39511693,0.33078244,0.08620689655172413,0.03508771929824561,2.2250738585072626e-308,2.2250738585072626e-308,5.4375
bokete_44302,"it a,,, if wife is  the  floor, you office is  the first floor. you your'  your calendar. and? ",7,1,0.07795565,0.33078244,0.2635926136687863,1.508176373065767e-308,1.508176373065767e-308,1.508176373065767e-308,4.1875
bokete_8755,when   been me that to be my in to in the. i s a to the  but't it?  m put of it in IIIIIIIIIIIIIII----IIII----,9,1,0.04113257,0.33078244,0.20833333333333334,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.71875
bokete_14426,"and s a a to a day, two, and, and, and, big, big, big, big,,, wents going a life of life in and little of life and and little of love. and lot of love. and lot of mood. a lot of mood. and lot of pain",19,1,0.3449159,0.33078244,0.10580747028323623,0.039829127829730804,0.011632634159794396,5.823780789270845e-309,2.765625
bokete_45473,"you s  good!. when s the good you yous when by a tone of a  men when when the the the,,",7,1,0.057089325,0.33078244,0.23809523809523808,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.9375
bokete_82162,"you  a guy of you  on the the ground, and you guy who the  of not monster one who could out  night please---------",12,1,0.039211154,0.33078244,0.3587153290534512,0.04166895236479484,2.039762925602366e-308,2.039762925602366e-308,3.5
bokete_82264,"i you was up, the dream room i was that man that and and money and there with get me a chance of time  i the the, the",6,1,0.034348756,0.33078244,0.17857142857142858,0.037037037037037035,2.2250738585072626e-308,2.2250738585072626e-308,4.875
bokete_10214,`` you s about the other! you s an the front! you s an the! you s in the! you s in the board!'s in the board!'s in the board!'s on the board! it's on the board!,10,1,0.6469187,0.33078244,0.03966636266129321,0.012230461820565405,0.004193301195622425,3.265641704929345e-309,2.15625
bokete_11177,"you   you  groups and t mean what gate of the  but you gate s got.....  the the the the,,,,,",6,1,0.11385165,0.33078244,0.2995987831630854,2.110993164779763e-308,2.110993164779763e-308,2.110993164779763e-308,6.9375
bokete_18110,"and  i ve going to live up a whale in in the ocean. myohyo.. and i i ll going to live down and the.""ushima. game.  i m going to be down the sky one.year...  the my the my the the",17,1,0.07945345,0.33078244,0.3,0.10256410256410255,2.2250738585072626e-308,2.2250738585072626e-308,5.59375
bokete_38440,"`` you get in in we you  something, you't take it again you't take it, you't take it, just",4,1,0.41721463,0.33078244,0.21052631578947367,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,3.3125
bokete_45108,"i im i, `` i, i, i, i, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no",24,1,0.7407468,0.33078244,0.7272727272727273,0.71875,0.7096774193548387,0.7,0.6328125
bokete_50682,"it i said, "" you, you  t know if you canve got lost it it, but you  can wearing to win a to win it. so you   ''  can it?  is your your the the and the the and the is is your the the the the the to",25,1,0.052521322,0.33078244,0.24489795918367346,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.796875
bokete_36989,"`` on, come on, come on  come on  come on, come on, come on, come on, come on, come on, come on, come on, comeaa",21,1,0.8894937,0.33078244,0.84,0.75,0.6956521739130435,0.6363636363636364,0.625
bokete_92890,< s wrong on? you!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ,0,1,0.59856486,0.33078244,0.0,0.0,0.0,0.0,1.765625
bokete_30121,"i i  m telling to tell you something thing thing, it thing  i m going to tell you that little bit about it  i",10,1,0.043434866,0.33078244,0.4166666666666667,0.3043478260869566,0.18181818181818182,0.047619047619047616,2.296875
bokete_106270,"i m going, re the, the,, your, and sister, and sister, and friend and and",0,1,0.47146273,0.33078244,0.0,0.0,0.0,0.0,6.15625
bokete_32694,"i time i i m going to have you and and the law, i how to do a  aaaan thean",7,1,0.06000556,0.33078244,0.3,0.10526315789473682,2.2250738585072626e-308,2.2250738585072626e-308,5.09375
bokete_108812,"'  re to to get your thing `` you're going to do this? "" you're going to do this? "" you're going to do this.""  the, the the",9,1,0.4583284,0.33078244,0.2857142857142857,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.296875
imgflip_912,i say say their the  at say the  say say the bar say at  who say the to say.,6,1,0.12628679,0.33078244,0.14979939158154268,2.110993164779763e-308,2.110993164779763e-308,2.110993164779763e-308,7.28125
bokete_20788,"i voice is i i the of of sleeping big to be in. but i s just there my with the history.  the to in the air. well woman. .  the the the the the the the the the,,,,, the the the the theI, the the",27,1,0.033168025,0.33078244,0.2608695652173913,0.04444444444444445,2.2250738585072626e-308,2.2250738585072626e-308,5.71875
bokete_107934,"`` i  about out, he  him to a, i, s got fool guard, ",3,1,0.18697152,0.33078244,0.16964803398269643,1.6357440907688813e-308,1.6357440907688813e-308,1.6357440907688813e-308,5.28125
bokete_20605,the s a small being who the sky of the day. i priest i comes coming. ,6,1,0.03778496,0.33078244,0.375,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,4.5625
bokete_82616,"you m i to talk to the youawa, and i'm going to get  your black  your head bag, some. i",6,1,0.046721265,0.33078244,0.3,0.15789473684210523,0.11111111111111109,0.0588235294117647,4.03125
imgflip_132,"you the the; a; the head; if s a day ; themity; you's no use for you;  the,,, the guy guy than the the the,,, the guy than the the the the the the the the guy guy than the guy,,, the the the",2,1,0.19307226,0.33078244,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.9375
bokete_104941,"it you asked the' the years% of night, see to see me, i ll just you with my cell. ",5,1,0.023463454,0.33078244,0.2631578947368421,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,4.28125
bokete_29289,"i n m going,  the look look at the, but i  in in in, i the thean",7,1,0.10274008,0.33078244,0.29411764705882354,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,3.484375
bokete_103906,"``  a that book in i, was a way to.  i next would the dad, going to.  the the the the the the the the the the the the the the the",21,1,0.108803906,0.33078244,0.15625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.875
bokete_15698,"if i was up, i with , my wife,in-law, i       ",6,1,0.11635686,0.33078244,0.22466448205861078,0.04992544045746905,9.997901319273777e-309,9.997901319273777e-309,4.0
bokete_106178,"i you re like do do you"" you's not, i's go it, it of other people,, you</ you's not, </i's not, i the the",2,1,0.074642874,0.33078244,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.71875
bokete_13608,`` i nt you    re going than 10 feet from the left.  s a you   it.. ,2,1,0.12799416,0.33078244,0.1174266328516845,2.090263448406506e-308,2.090263448406506e-308,2.090263448406506e-308,5.78125
bokete_99403,it m going to tell a new  and and i'm going to have a   a   and i re going to have to a. the,14,1,0.088507704,0.33078244,0.5416666666666666,0.21739130434782608,0.0909090909090909,0.047619047619047616,2.546875
bokete_15254,"i the way of the,,s doctor,s appointment, i, i0,,ita, my pocket,s pocket, say back to i,/0 them money m paper. be coming. i doctor man man to the the the the the the the the to to to the the the the to",15,1,0.15967424,0.33078244,0.06976744186046512,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.0
bokete_42934,"``. k, i   wearing a in, me the have of the the,,, i",1,1,0.09190643,0.33078244,0.05654934466089881,1.6357440907688813e-308,1.6357440907688813e-308,1.6357440907688813e-308,7.46875
bokete_11378,"`` is i ii s  you one year old, you to a kitchen and and a own and a and practice  it",1,1,0.053427435,0.33078244,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.1875
bokete_20830,"i was told told that '' i,,, i m about wooden,   nt know the down, the years, it m a to be a by the rusty. a wrench wrench. she the the the",8,1,0.059875116,0.33078244,0.15151515151515155,0.03125,2.2250738585072626e-308,2.2250738585072626e-308,5.03125
bokete_93504,"``, i know i that i  there.. i i s up i to you money. i",2,1,0.048166066,0.33078244,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.65625
bokete_15076,"when to the sky, the road, when do people you have going to i s hard of hate and i,,,, the the,,, the,,",7,1,0.07205059,0.33078244,0.21739130434782608,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,5.1875
bokete_11580,"now i, i  have looking. see your of i i  this,, i  get get a big. ItIt",3,1,0.032783624,0.33078244,0.11092625221822057,2.0979623842800395e-308,2.0979623842800395e-308,2.0979623842800395e-308,6.09375
bokete_16305,"``  a little hand fat, to of the,  s side and i, i green of the love has going to find behind  than the the the the the the the the the the the the the",21,1,0.079193704,0.33078244,0.16666666666666669,0.028571428571428577,2.2250738585072626e-308,2.2250738585072626e-308,5.125
bokete_96616,i s like good that that of time guy i but i 't want to to live here with that. ,8,1,0.03768193,0.33078244,0.25,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,3.4375
bokete_40405,"i  i i you put in in, i i was in little, i had the and i",9,1,0.04920935,0.33078244,0.29411764705882354,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,4.09375
bokete_13455,"as wass a only day, today school, i wass a same thing a guy, he's none same as a football, he's  same as a football, he's the same as a football, he's the same as a football. he's the same as a horse.",25,1,0.066394776,0.33078244,0.5056759779747199,0.31062952932732796,0.19092351558655274,0.08697626821165183,2.171875
bokete_110426,"`` s the bad of you! he ve got the sword,, came out, m coming the sword. i, the the the the the the the the the the the the the",17,1,0.3300999,0.33078244,0.06451612903225806,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.96875
imgflip_226,"i  said i  the when than the ii, mom: i was out apple of water and i thei the",7,1,0.027434193,0.33078244,0.21052631578947367,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.15625
bokete_14686,"i im not i for for  room, but the wall, i i next on n fighting at a family home of i the the the",6,1,0.15138827,0.33078244,0.15999999999999998,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.53125
bokete_32040,"i� i now to house, i father  but� but� but, i god,� he� i, it god,� he� will, my uncle � ♫ he, my uncle � ♫ oh, my uncle � ♫ oh, my uncle � ♫ oh,",15,1,0.09780065,0.33078244,0.18402312436719878,0.11339803339384143,0.05179910167373002,0.026639538003632585,2.9375
bokete_30003,"i hey  you doing  you  up? the morning  `` i, i  so it here my restaurant s house and aaaaaa",3,1,0.04730304,0.33078244,0.15,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.1875
bokete_21198,it m going to try it a try! the back time.  bank. but you'm going in a back of...try face it,4,1,0.04113282,0.33078244,0.14285714285714285,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,4.71875
bokete_106641,"I,, i, went, splits, it, goes, goes. goes. goes. goes. goes. goes. swings. swings. swings. sucks. splits. splits and splits and splits and splits and splits and splits and splits and splits and splits and splits and splits and splits and splits and splits and splits",30,1,0.70563984,0.33078244,0.2560899258014157,0.244328758838684,0.2409573392767866,0.23742910950270785,2.171875
bokete_93015,"`` i or, iing,, i just that i you will will be be to house  door, but---,,,-, the,, the",6,1,0.12915346,0.33078244,0.15789473684210523,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.9375
bokete_17505,"`` and s a the from you, </ i' you' you', ""i''t know to go it, ""i''t go to go it, ""i do't go to do it."" too do't want to do it.  do'",9,1,0.23782068,0.33078244,0.18059670399751368,0.020674370154597527,1.5180660188792246e-308,1.5180660188792246e-308,2.921875
bokete_31058,"i you, you, you, i, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no. no. no. no. no. no. no. no. no, no",27,1,0.65356207,0.33078244,0.4212993505447751,0.3692952119619044,0.3587839630445826,0.3475719641994394,0.92578125
imgflip_354,"i you  are me violence, but</ but do you look trapped in the  ",2,1,0.07115336,0.33078244,0.14245555056035633,2.060331790082205e-308,2.060331790082205e-308,2.060331790082205e-308,8.3125
bokete_14053,"to  a to life to say there the  and a rope and  and i say it, you would sayt say it.  m be a the sea. day. now on. Itaaa",15,1,0.12647122,0.33078244,0.3224053668273352,0.03335227932696572,2.1521272607098447e-308,2.1521272607098447e-308,3.96875
imgflip_267,i  i`` saysishes my  i me last; i; girlfriend says   n shot my;: iaaaa,1,1,0.37092224,0.33078244,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.4375
bokete_34971,"``  of,,, you, and i m going to say to your and and s my, look in, my  itaaaaaaaa theaa the the",5,1,0.49899966,0.33078244,0.22727272727272727,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,4.75
imgflip_84,"i eyes screen to ; but you be at but?  you sound, you? ",0,1,0.02788124,0.33078244,0.0,0.0,0.0,0.0,4.9375
bokete_97912,"``   `` i, i, i, i, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no",25,1,0.8835039,0.33078244,0.0773542252842393,0.07665554195909133,0.07591027974560016,0.07511362013807513,0.83203125
bokete_105503,"`` i  up my the dream, my was my in my my jar of my little. but,, the the the the,",8,1,0.13807862,0.33078244,0.2857142857142857,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.375
bokete_29861,"``, no, no, no, no, no  n find me my job from and my of, iI",4,1,0.16712491,0.33078244,0.25,0.2,0.14285714285714285,0.07692307692307693,4.21875
bokete_55780,"`` ifs with with this??? first's been that, by the ear, i you know a? i",3,1,0.101962894,0.33078244,0.1174266328516845,2.090263448406506e-308,2.090263448406506e-308,2.090263448406506e-308,5.4375
bokete_28405,"i, i, i  no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,",29,1,0.72902375,0.33078244,0.516365684912399,0.5146425513698659,0.5128045422578307,0.5108397738966896,0.5390625
