image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss,caption_loss,fc_loss
mcdonalds_switzerland_864,we of. best. #  ool �# ://www..co/science000#### ,1,1,0.6401822,0.4551108,0.14285714285714285,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,30.0,5.0625,2.5
mcdonalds_switzerland_2014,the ass#food #foodikage #bafes ,0,1,0.61830014,0.4551108,0.0,0.0,0.0,0.0,4.6875,3.859375,0.083984375
mcdonalds_switzerland_237,you do your favorite favorite emoji???  ,1,1,0.878774,0.4551108,0.10108844328543891,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,29.5,3.890625,2.5625
mcdonalds_switzerland_1883,"weovember is the' ovember, we you want beards beard? month? share# aldmcdonald ",3,1,0.07827235,0.4551108,0.25,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,3.6875,2.890625,0.080078125
mcdonalds_switzerland_293,"we your food  of  m like the"" dourry   ",0,1,0.042535592,0.4551108,0.0,0.0,0.0,0.0,6.3125,5.46875,0.0859375
mcdonalds_switzerland_774,the new days below than a the few of! ----aaaaaaaaaaaaa-aaa,2,1,0.21439558,0.4551108,0.2,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,29.75,4.625,2.515625
mcdonalds_switzerland_27,"when s the to this ', it you do what answer? it",2,1,0.042958647,0.4551108,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,27.5,3.828125,2.359375
mcdonalds_switzerland_1612,"today ’ week!  happy’ you your begehen, ",0,1,0.40576214,0.4551108,0.0,0.0,0.0,0.0,7.34375,6.40625,0.0947265625
mcdonalds_switzerland_730,a are girls are be your! make your. they,0,1,0.080093525,0.4551108,0.0,0.0,0.0,0.0,5.875,5.0625,0.08154296875
mcdonalds_switzerland_1842,the birthday day cream day! ##,2,1,0.80018526,0.4551108,0.3333333333333333,0.2,2.2250738585072626e-308,2.2250738585072626e-308,5.75,4.9375,0.08154296875
mcdonalds_switzerland_377,we iss the favorite food? eat out with? the# cdonalds? �️ ,2,1,0.20190468,0.4551108,0.18181818181818182,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,3.953125,3.140625,0.08154296875
mcdonalds_switzerland_835,a games? friends? a this ,0,1,0.7549089,0.4551108,0.0,0.0,0.0,0.0,31.25,6.28125,2.5
